row_label_raw,row_label_full,col_0,31/12/2021VND’000,1/1/2021VND’000,numeric__31/12/2021VND’000,numeric__1/1/2021VND’000
Short-term other receivables,Short-term other receivables,Short-term other receivables,Short-term other receivables,Short-term other receivables,,
Receivable for mining rights fee (a),Receivable for mining rights fee (a),Receivable for mining rights fee (a),"241,979,433","239,835,807",,
Receivable for insurance claim (b),Receivable for insurance claim (b),Receivable for insurance claim (b),"74,794,500",-,,
Environmental protection fee prepayment,Environmental protection fee prepayment,Environmental protection fee prepayment,"43,000,000",-,,
Export tax prepayment,Export tax prepayment,Export tax prepayment,"19,568,139",-,,
Export tax receivable,Export tax receivable,Export tax receivable,"17,175,216",,,
Interest income,Export tax receivable > Interest income,Interest income,"902,662","19,197,889",902.662,
Receivable from reduction of purchase price of HCS group,Receivable from reduction of purchase price of HCS group,Receivable from reduction of purchase price of HCS group,-,"26,476,816",,
Others,Others,Others,"23,846,152","35,579,024",,
,,,"421,266,102","321,089,536",,
