row_label_raw,row_label_full,Name,Address,Principal activity,Percentage of economic interests at 31/12/2021 and 1/1/2021,numeric__Address,numeric__Principal activity,numeric__Percentage of economic interests at 31/12/2021 and 1/1/2021
H.C. Starck Nonferrous Metals Trading (Shanghai) Co. Ltd.,H.C. Starck Nonferrous Metals Trading (Shanghai) Co. Ltd.,H.C. Starck Nonferrous Metals Trading (Shanghai) Co. Ltd.,"(ii) Shanghai, PRC",Trading and distribution,100%,,,1.0
H.C. Starck Canada Inc.,H.C. Starck Canada Inc.,H.C. Starck Canada Inc.,"(ii) Sarnia, Ontario, Canada",Deep processing of nonferrous metals and precious metals (Tungsten),100%,,,1.0
H.C. Starck Tungsten GK,H.C. Starck Tungsten GK,H.C. Starck Tungsten GK,"(ii) Tokyo, Japan",Trading and distribution,100%,,,1.0
H.C. Starck Tungsten LLC,H.C. Starck Tungsten LLC,H.C. Starck Tungsten LLC,"(ii) Newton, USA",Trading and distribution,100%,,,1.0
"H.C. Starck Jiangwu Tungsten Specialities (Ganzhou) Co., Ltd.","H.C. Starck Jiangwu Tungsten Specialities (Ganzhou) Co., Ltd.","H.C. Starck Jiangwu Tungsten Specialities (Ganzhou) Co., Ltd.","(ii) Ganzhou, China",Deep processing of nonferrous metals and precious metals (Tungsten),60%,,,0.6
Associates,Associates,Associates,Associates,Associates,Associates,,,
Name,Name,Name,Address,Principal activity,Percentage of economic interests at 31/12/2021 and 1/1/2021,,,
Indirect associates,Indirect associates,Indirect associates,Indirect associates,Indirect associates,Indirect associates,,,
"Jiangwu H.C. Starck Tungsten Products Co., Ltd.","Indirect associates > Jiangwu H.C. Starck Tungsten Products Co., Ltd.","Jiangwu H.C. Starck Tungsten Products Co., Ltd.","(ii) Ganzhou, China",Deep processing of nonferrous metals and precious metals (Tungsten),30%,,,0.3
