row_label_raw,row_label_full,col_0,Share capital VND'000,Share premium VND'000,Other capital VND'000,Foreign exchange differences VND'000,Other equity funds VND'000,Undistributed profits after tax VND'000,Equity attributable to equity holders of the Company VND'000,Non-controlling interest VND'000,Total equity VND'000,numeric__Share capital VND'000,numeric__Share premium VND'000,numeric__Other capital VND'000,numeric__Foreign exchange differences VND'000,numeric__Other equity funds VND'000,numeric__Undistributed profits after tax VND'000,numeric__Equity attributable to equity holders of the Company VND'000,numeric__Non-controlling interest VND'000,numeric__Total equity VND'000
Balance at 1 January 2020,Balance at 1 January 2020,Balance at 1 January 2020,"9,892,398,780","145,709,384","(295,683,347)",-,-,"2,727,397,449","12,469,822,266",-,"12,469,822,266",,,,,,,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,-,-,-,"39,195,963","39,195,963","12,594,995","51,790,958",,,,,,,,,
Increases from business combination,Increases from business combination,Increases from business combination,-,-,-,-,-,-,-,"49,291,905","49,291,905",,,,,,,,,
New shares issuance,New shares issuance,New shares issuance,"1,099,155,420","995,175,317",-,-,-,-,"2,094,330,737",-,"2,094,330,737",,,,,,,,,
Transaction fee for new shares issuance,Transaction fee for new shares issuance,Transaction fee for new shares issuance,-,"(42,624,809)",-,-,-,-,"(42,624,809)",-,"(42,624,809)",,,,,,,,,
Remeasurement of provision for pensions,Remeasurement of provision for pensions,Remeasurement of provision for pensions,-,-,-,-,"(358,967,342)",-,"(358,967,342)",-,"(358,967,342)",,,,,,,,,
Foreign exchange differences,Foreign exchange differences,Foreign exchange differences,-,-,-,"(189,058,584)",-,-,"(189,058,584)","4,955,904","(184,102,680)",,,,,,,,,
Balance at 1 January 2021,Balance at 1 January 2021,Balance at 1 January 2021,"10,991,554,200","1,098,259,892","(295,683,347)","(189,058,584)","(358,967,342)","2,766,593,412","14,012,698,231","66,842,804","14,079,541,035",,,,,,,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,-,-,-,"195,611,320","195,611,320","65,512,309","261,123,629",,,,,,,,,
Remeasurement of provision for pensions,Remeasurement of provision for pensions,Remeasurement of provision for pensions,-,-,-,-,"188,714,955",-,"188,714,955",-,"188,714,955",,,,,,,,,
Foreign exchange differences,Foreign exchange differences,Foreign exchange differences,-,-,-,"(176,770,526)",-,-,"(176,770,526)","(11,429,769)","(188,200,295)",,,,,,,,,
Balance at 31 December 2021,Balance at 31 December 2021,Balance at 31 December 2021,"10,991,554,200","1,098,259,892","(295,683,347)","(365,829,110)","(170,252,387)","2,962,204,732","14,220,253,980","120,925,344","14,341,179,324",,,,,,,,,
