row_label_raw,row_label_full,col_0,Code,Note,2021VND'000,2020VND'000,numeric__Code,numeric__Note,numeric__2021VND'000,numeric__2020VND'000
Revenue from sales of goods and provision of services,Revenue from sales of goods and provision of services,Revenue from sales of goods and provision of services,01,,"13,583,641,781","7,365,774,085",1.0,,,
Revenue deductions,Revenue deductions,Revenue deductions,02,,"19,351,935","74,593,427",2.0,,,
Net revenue (10 = 01 - 02),Net revenue (10 = 01 - 02),Net revenue (10 = 01 - 02),10,26,"13,564,289,846","7,291,180,658",10.0,26.0,,
Cost of sales,Cost of sales,Cost of sales,11,,"11,293,885,339","7,113,222,006",11.0,,,
Gross profit (20 = 10 - 11),Gross profit (20 = 10 - 11),Gross profit (20 = 10 - 11),20,,"2,270,404,507","177,958,652",20.0,,,
Financial income,Financial income,Financial income,21,27,"344,622,946","646,482,348",21.0,27.0,,
Financial expenses,Financial expenses,Financial expenses,22,28,"1,435,452,204","1,652,967,999",22.0,28.0,,
Share of profit/(loss) in associates,Share of profit/(loss) in associates,Share of profit/(loss) in associates,24,,"3,064,567","(29,488,203)",24.0,,,
Selling expenses,Selling expenses,Selling expenses,25,29,"445,622,393","226,224,066",25.0,29.0,,
General and administration expenses,General and administration expenses,General and administration expenses,26,30,"638,030,680","282,149,068",26.0,30.0,,
Net operating profit/(loss)(30 = 20 + 21 - 22 + 24 - 25 - 26),Net operating profit/(loss)(30 = 20 + 21 - 22 + 24 - 25 - 26),Net operating profit/(loss)(30 = 20 + 21 - 22 + 24 - 25 - 26),30,,"98,986,743","(1,366,388,336)",30.0,,,
Other income,Other income,Other income,31,31,"142,172,892","1,328,986,068",31.0,31.0,,
Other expenses,Other expenses,Other expenses,32,32,"84,643,721","58,808,571",32.0,32.0,,
Results of other activities(40 = 31 - 32),Results of other activities(40 = 31 - 32),Results of other activities(40 = 31 - 32),40,,"57,529,171","1,270,177,497",40.0,,,
Accounting profit/(loss) before tax(50 = 30 + 40),Accounting profit/(loss) before tax(50 = 30 + 40),Accounting profit/(loss) before tax(50 = 30 + 40),50,,"156,515,914","(96,210,839)",50.0,,,
Income tax expense – current,Income tax expense – current,Income tax expense – current,51,33,"59,707,083","20,654,658",51.0,33.0,,
Income tax benefit – deferred,Income tax benefit – deferred,Income tax benefit – deferred,52,33,"(164,314,798)","(168,656,455)",52.0,33.0,,
Net profit after tax(60 = 50 - 51 - 52)(carried to next page),Net profit after tax(60 = 50 - 51 - 52)(carried to next page),Net profit after tax(60 = 50 - 51 - 52)(carried to next page),60,,"261,123,629","51,790,958",60.0,,,
