row_label_raw,row_label_full,col_0,Khôi phục hiện trường mô Nghìn VND,Quyền khai thác khoáng sản Nghìn VND,Quỹ hưu trí và phụ cấp khác Nghìn VND,Tổng cộng Nghìn VND,numeric__Khôi phục hiện trường mô Nghìn VND,numeric__Quyền khai thác khoáng sản Nghìn VND,numeric__Quỹ hưu trí và phụ cấp khác Nghìn VND,numeric__Tổng cộng Nghìn VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,103.800.498,390.248.573,6.963.327.331,7.457.376.402,103800498.0,390248573.0,6963327331.0,7457376402.0
Dự phòng lập trong năm,Dự phòng lập trong năm,Dự phòng lập trong năm,4.899.383,216.015.571,17.683.356,238.598.310,4899383.0,216015571.0,17683356.0,238598310.0
Tái xác định dự phòng trợ cấp hưu trí (*),Tái xác định dự phòng trợ cấp hưu trí (*),Tái xác định dự phòng trợ cấp hưu trí (*),-,-,(483.845.303),(483.845.303),,,-483845303.0,-483845303.0
Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,-,(73.145.650),(201.538.021),(274.683.671),,-73145650.0,-201538021.0,-274683671.0
Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,-,-,(586.720.592),(586.720.592),,,-586720592.0,-586720592.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,108.699.881,533.118.494,5.708.906.771,6.350.725.146,108699881.0,533118494.0,5708906771.0,6350725146.0
