row_label_raw,row_label_full,col_0,Tại ngày 1.1.2022 VND,Tại ngày 1.1.2022 VND_1,Tăng VND,Phân loại lại VND,Đánh giá lại VND,Tại ngày 31.12.2022 VND,numeric__Tại ngày 1.1.2022 VND,numeric__Tại ngày 1.1.2022 VND_1,numeric__Tăng VND,numeric__Phân loại lại VND,numeric__Đánh giá lại VND,numeric__Tại ngày 31.12.2022 VND
Vay ngân hàng (iii),Vay ngân hàng (iii),Vay ngân hàng (iii),367.151.446.768,367.151.446.768,-,(62.211.246.869),4.805.647.209,309.745.847.108,367151446768.0,367151446768.0,,-62211246869.0,4805647209.0,309745847108.0
Trái phiếu thường (iv),Trái phiếu thường (iv),Trái phiếu thường (iv),7.773.090.000.000,7.773.090.000.000,2.876.910.000.000,(650.000.000.000),-,10.000.000.000.000,7773090000000.0,7773090000000.0,2876910000000.0,-650000000000.0,,10000000000000.0
,,,8.140.241.446.768,8.140.241.446.768,2.876.910.000.000,(712.211.246.869),4.805.647.209,10.309.745.847.108,8140241446768.0,8140241446768.0,2876910000000.0,-712211246869.0,4805647209.0,10309745847108.0
(iii) Vay ngân hàng,(iii) Vay ngân hàng,(iii) Vay ngân hàng,(iii) Vay ngân hàng,(iii) Vay ngân hàng,(iii) Vay ngân hàng,(iii) Vay ngân hàng,(iii) Vay ngân hàng,(iii) Vay ngân hàng,,,,,,
Chi tiết các khoản vay ngân hàng dài hạn như sau:,Chi tiết các khoản vay ngân hàng dài hạn như sau:,Chi tiết các khoản vay ngân hàng dài hạn như sau:,Chi tiết các khoản vay ngân hàng dài hạn như sau:,Chi tiết các khoản vay ngân hàng dài hạn như sau:,Chi tiết các khoản vay ngân hàng dài hạn như sau:,Chi tiết các khoản vay ngân hàng dài hạn như sau:,Chi tiết các khoản vay ngân hàng dài hạn như sau:,Chi tiết các khoản vay ngân hàng dài hạn như sau:,,,,,,
,,,,,2022,2022,2021,2021,,,2022.0,2022.0,2021.0,2021.0
Bên cho vay,Bên cho vay,Bên cho vay,Loại tiền,Thời gian đáo hạn,Vay dài hạn đến hạn trả VND,Vay dài dạn VND,Vay dài hạn đến hạn trả VND,Vay dài dạn VND,,,,,,
Ngân hàng Thương mại Cổ phầnQuân đội (*),Bên cho vay > Ngân hàng Thương mại Cổ phầnQuân đội (*),Ngân hàng Thương mại Cổ phầnQuân đội (*),USD,Tháng 6 năm 2028,68.298.400.000,309.745.847.108,66.330.480.000,367.151.446.768,,,68298400000.0,309745847108.0,66330480000.0,367151446768.0
Woori Bank - Singapore Branch,Bên cho vay > Woori Bank - Singapore Branch,Woori Bank - Singapore Branch,USD,Tháng 12 năm 2022,-,-,375.054.537.120,-,,,,,375054537120.0,
Industrial and Commercial Bank ofChina Limited - Hong Kong Branch,Bên cho vay > Industrial and Commercial Bank ofChina Limited - Hong Kong Branch,Industrial and Commercial Bank ofChina Limited - Hong Kong Branch,USD,Tháng 12 năm 2022,-,-,375.054.537.120,-,,,,,375054537120.0,
KEB Hana Bank - Hong Kong Branch,Bên cho vay > KEB Hana Bank - Hong Kong Branch,KEB Hana Bank - Hong Kong Branch,USD,Tháng 12 năm 2022,-,-,166.690.925.760,-,,,,,166690925760.0,
,,,,,68.298.400.000,309.745.847.108,983.130.480.000,367.151.446.768,,,68298400000.0,309745847108.0,983130480000.0,367151446768.0
