row_label_raw,row_label_full,Ngân hàng HDBank,2.997.476.038,1.712.695.006,numeric__2.997.476.038,numeric__1.712.695.006
Công ty con,Công ty con,Công ty con,-,16.606.453.535,,16606453535.0
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,1.350.000.000,92.708.021.157,1350000000.0,92708021157.0
,,,4.347.476.038,111.027.169.698,4347476038.0,111027169698.0
