row_label_raw,row_label_full,col_0,Tại ngày1.1.2022VND,Số phải thu/phàinộp trong nămVND,Số đã thựcthu/thực nộptrong nămVND,Cán trừ/phân loại lại trong nămVND,KhácVND,Tại ngày31.12.2022VND,numeric__Tại ngày1.1.2022VND,numeric__Số phải thu/phàinộp trong nămVND,numeric__Số đã thựcthu/thực nộptrong nămVND,numeric__Cán trừ/phân loại lại trong nămVND,numeric__KhácVND,numeric__Tại ngày31.12.2022VND
a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,,,,,,
Thuế GTGT đượckhấu trữ,a) Phải thu > Thuế GTGT đượckhấu trữ,Thuế GTGT đượckhấu trữ,41.091.007.084,1.654.453.202.240,-,(1.558.925.061.001),(10.750.938.169),125.868.210.154,41091007084.0,1654453202240.0,,-1558925061001.0,-10750938169.0,125868210154.0
Thuế nhà thàunước ngoài,a) Phải thu > Thuế nhà thàunước ngoài,Thuế nhà thàunước ngoài,-,-,-,25.147.363.628,-,25.147.363.628,,,,25147363628.0,,25147363628.0
,,,41.091.007.084,1.654.453.202.240,-,(1.533.777.697.373),(10.750.938.169),151.015.573.782,41091007084.0,1654453202240.0,,-1533777697373.0,-10750938169.0,151015573782.0
b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,,,,,,
Thuế TNDN,b) Phải nộp > Thuế TNDN,Thuế TNDN,138.784.864.775,169.141.000.000,(133.855.197.457),-,(4.929.667.318),169.141.000.000,138784864775.0,169141000000.0,-133855197457.0,,-4929667318.0,169141000000.0
Thuế thu nhập cá nhân,b) Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,45.443.343.148,379.597.560.929,(233.131.968.422),-,-,191.908.935.655,45443343148.0,379597560929.0,-233131968422.0,,,191908935655.0
Thuế GTGT,b) Phải nộp > Thuế GTGT,Thuế GTGT,82.693.553.374,1.594.853.332.837,(118.621.825.210),(1.558.925.061.001),-,-,82693553374.0,1594853332837.0,-118621825210.0,-1558925061001.0,,
Thuế nhà thàunước ngoài,b) Phải nộp > Thuế nhà thàunước ngoài,Thuế nhà thàunước ngoài,21.864.440.587,21.590.293.681,(20.723.766.299),25.147.363.628,(47.878.331.597),-,21864440587.0,21590293681.0,-20723766299.0,25147363628.0,-47878331597.0,
Thuế khác,b) Phải nộp > Thuế khác,Thuế khác,-,140.038.037.376,(139.756.257.601),-,-,281.779.775,,140038037376.0,-139756257601.0,,,281779775.0
,,,288.786.201.884,2.305.220.224.823,(646.089.014.989),(1.533.777.697.373),(52.807.998.915),361.331.715.430,288786201884.0,2305220224823.0,-646089014989.0,-1533777697373.0,-52807998915.0,361331715430.0
