row_label_raw,row_label_full,col_0,Tàu bay và động cơ tàu bay VND,"Nhà cửa, vật kiến trúc VND",Máy móc thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Tàu bay và động cơ tàu bay VND,"numeric__Nhà cửa, vật kiến trúc VND",numeric__Máy móc thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,896.813.994.227,387.463.400.057,101.519.334.255,70.323.378.062,53.667.534.387,1.509.787.640.988,896813994227.0,387463400057.0,101519334255.0,70323378062.0,53667534387.0,1509787640988.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,4.559.748.057.333,21.090.214.441,14.711.160.547,7.679.346.300,4.378.260.786,4.607.607.039.407,4559748057333.0,21090214441.0,14711160547.0,7679346300.0,4378260786.0,4607607039407.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,-,(5.733.188.568),(62.500.000),(5.795.688.568),,,,-5733188568.0,-62500000.0,-5795688568.0
Khác,Nguyên giá > Khác,Khác,-,-,3.058.330.526,(497.138.011),(2.561.192.515),-,,,3058330526.0,-497138011.0,-2561192515.0,
Tại ngày 31 tháng 12 năm 2022,Nguyên giá > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,5.456.562.051.560,408.553.614.498,119.288.825.328,71.772.397.783,55.422.102.658,6.111.598.991.827,5456562051560.0,408553614498.0,119288825328.0,71772397783.0,55422102658.0,6111598991827.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,249.823.689.576,18.172.790.992,42.437.409.523,27.189.790.354,22.680.821.774,360.304.502.219,249823689576.0,18172790992.0,42437409523.0,27189790354.0,22680821774.0,360304502219.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,44.632.670.799,8.215.990.955,12.508.997.259,7.492.094.067,4.131.278.859,76.981.031.939,44632670799.0,8215990955.0,12508997259.0,7492094067.0,4131278859.0,76981031939.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,-,-,-,(5.662.812.146),(62.500.000),(5.725.312.146),,,,-5662812146.0,-62500000.0,-5725312146.0
Khác,Giá trị khấu hao lũy kế > Khác,Khác,-,(347.383.333),(3.573.641.070),(614.378.476),4.535.402.879,-,,-347383333.0,-3573641070.0,-614378476.0,4535402879.0,
Tại ngày 31 tháng 12 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,294.456.360.375,26.041.398.614,51.372.765.712,28.404.693.799,31.285.003.512,431.560.222.012,294456360375.0,26041398614.0,51372765712.0,28404693799.0,31285003512.0,431560222012.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,646.990.304.651,369.290.609.065,59.081.924.732,43.133.587.708,30.986.712.613,1.149.483.138.769,646990304651.0,369290609065.0,59081924732.0,43133587708.0,30986712613.0,1149483138769.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,5.162.105.691.185,382.512.215.884,67.916.059.616,43.367.703.984,24.137.099.146,5.680.038.769.815,5162105691185.0,382512215884.0,67916059616.0,43367703984.0,24137099146.0,5680038769815.0
