row_label_raw,row_label_full,Ngân hàng HDBank,380.000.000,-,numeric__380.000.000,numeric__-
Công ty con (i),Công ty con (i),Công ty con (i),6.660.971.000.425,4.438.807.528.932,6660971000425.0,4438807528932.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,56.971.235.200,-,56971235200.0,
Bên liên quan khác (ii),Bên liên quan khác (ii),Bên liên quan khác (ii),726.339.933.951,617.576.130.250,726339933951.0,617576130250.0
,,,7.444.662.169.576,5.056.383.659.182,7444662169576.0,5056383659182.0
