row_label_raw,row_label_full,Tên công ty,Mối quan hệ,numeric__Mối quan hệ
Công ty Cổ phần Sovico,Công ty Cổ phần Sovico,Công ty Cổ phần Sovico,Cổ đông lớn,
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh(“Ngân hàng HDBank”),Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh(“Ngân hàng HDBank”),Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh(“Ngân hàng HDBank”),Cổ đông lớn,
Vietjet Air IVB No. I Limited,Vietjet Air IVB No. I Limited,Vietjet Air IVB No. I Limited,Công ty con,
Vietjet Air IVB No. II Limited,Vietjet Air IVB No. II Limited,Vietjet Air IVB No. II Limited,Công ty con,
Vietjet Air Ireland No. 1 Limited,Vietjet Air Ireland No. 1 Limited,Vietjet Air Ireland No. 1 Limited,Công ty con,
Vietjet Air Singapore Pte. Ltd.,Vietjet Air Singapore Pte. Ltd.,Vietjet Air Singapore Pte. Ltd.,Công ty con,
Công ty Cổ phần VietjetAir Cargo,Công ty Cổ phần VietjetAir Cargo,Công ty Cổ phần VietjetAir Cargo,Công ty con,
Công ty TNHH Galaxy Pay,Công ty TNHH Galaxy Pay,Công ty TNHH Galaxy Pay,Công ty con,
Công ty Cổ phần Swift 247,Công ty Cổ phần Swift 247,Công ty Cổ phần Swift 247,Công ty con,
Skymate Limited,Skymate Limited,Skymate Limited,Công ty con,
Công ty TNHH MTV Phục vụ Mặt đất Vietjet,Công ty TNHH MTV Phục vụ Mặt đất Vietjet,Công ty TNHH MTV Phục vụ Mặt đất Vietjet,Công ty con,
"Thai Vietjet Air Joint Stock Co., Ltd.","Thai Vietjet Air Joint Stock Co., Ltd.","Thai Vietjet Air Joint Stock Co., Ltd.",Công ty liên kết,
Công ty Cổ phần Nhà ga Quốc tế Cam Ranh,Công ty Cổ phần Nhà ga Quốc tế Cam Ranh,Công ty Cổ phần Nhà ga Quốc tế Cam Ranh,Công ty liên kết,
Công ty Cổ phần Trường Sơn Plaza,Công ty Cổ phần Trường Sơn Plaza,Công ty Cổ phần Trường Sơn Plaza,Bên liên quan khác,
