row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,2.000.000.000.000,2.322.800.251.928,(33.019.699.490),133.379.666.652,107.161.055.052,669.217.548.202,122.546.620.143,5.322.085.442.487,2000000000000.0,2322800251928.0,-33019699490.0,133379666652.0,107161055052.0,669217548202.0,122546620143.0,5322085442487.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,641.800.184.045,14.792.064.199,656.592.248.244,,,,,,641800184045.0,14792064199.0,656592248244.0
Phát hành cổ phiếu quỹ,Phát hành cổ phiếu quỹ,Phát hành cổ phiếu quỹ,-,(26.027.049.831),32.358.749.831,-,-,-,49.000.000,6.380.700.000,,-26027049831.0,32358749831.0,,,,49000000.0,6380700000.0
Mua lại cổ phiếu,Mua lại cổ phiếu,Mua lại cổ phiếu,-,648.685.680,(967.285.680),-,-,-,-,(318.600.000),,648685680.0,-967285680.0,,,,,-318600000.0
Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,-,-,-,-,51.529.902.680,(50.910.462.507),(619.440.173),-,,,,,51529902680.0,-50910462507.0,-619440173.0,
Phân bổ vào quỹ khen thưởng và phúc lợi,Phân bổ vào quỹ khen thưởng và phúc lợi,Phân bổ vào quỹ khen thưởng và phúc lợi,-,-,-,-,-,(48.604.465.836),-,(48.604.465.836),,,,,,-48604465836.0,,-48604465836.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,(399.936.279.930),(857.149.216),(400.793.429.146),,,,,,-399936279930.0,-857149216.0,-400793429146.0
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,-,(35.488.771.952),-,-,(35.488.771.952),,,,,-35488771952.0,,,-35488771952.0
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,(7.026.377.330),-,-,(700.107.187),(7.726.484.517),,,,-7026377330.0,,,-700107187.0,-7726484517.0
Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,2.000.000.000.000,2.297.421.887.777,(1.628.235.339),126.353.289.322,123.202.185.780,811.566.523.974,135.210.987.766,5.492.126.639.280,2000000000000.0,2297421887777.0,-1628235339.0,126353289322.0,123202185780.0,811566523974.0,135210987766.0,5492126639280.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,822.596.840.209,9.585.793.764,832.182.633.973,,,,,,822596840209.0,9585793764.0,832182633973.0
Phát hành cổ phiếu (****),Phát hành cổ phiếu (****),Phát hành cổ phiếu (****),1.999.436.500.000,(1.999.436.500.000),-,-,-,-,-,-,1999436500000.0,-1999436500000.0,,,,,,
Mua lại cổ phiếu (*),Mua lại cổ phiếu (*),Mua lại cổ phiếu (*),-,670.121.020,(992.021.020),-,-,-,-,(321.900.000),,670121020.0,-992021020.0,,,,,-321900000.0
Giảm cổ phiếu (**),Giảm cổ phiếu (**),Giảm cổ phiếu (**),(563.500.000),(2.056.756.359),2.620.256.359,-,-,-,-,-,-563500000.0,-2056756359.0,2620256359.0,,,,,
Chia cổ tức (***),Chia cổ tức (***),Chia cổ tức (***),-,-,-,-,-,(459.870.395.000),(8.019.311.475),(467.889.706.475),,,,,,-459870395000.0,-8019311475.0,-467889706475.0
Vốn góp tăng thêm của các cổ đông không kiểm soát vào các công ty con,Vốn góp tăng thêm của các cổ đông không kiểm soát vào các công ty con,Vốn góp tăng thêm của các cổ đông không kiểm soát vào các công ty con,-,-,-,-,-,-,3.461.540.000,3.461.540.000,,,,,,,3461540000.0,3461540000.0
Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,-,-,-,-,35.344.538.519,(35.211.644.292),(132.894.227),-,,,,,35344538519.0,-35211644292.0,-132894227.0,
Phân bổ vào quỹ khen thưởng và phúc lợi,Phân bổ vào quỹ khen thưởng và phúc lợi,Phân bổ vào quỹ khen thưởng và phúc lợi,-,-,-,-,-,(36.259.134.935),-,(36.259.134.935),,,,,,-36259134935.0,,-36259134935.0
