row_label_raw,row_label_full,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Công ty con,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Hoạt động chính,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > % quyền biểu quyết31/12/2022 1/1/2022,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > % lợi ích kinh tế31/12/2022 1/1/2022,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > % lợi ích kinh tế31/12/2022 1/1/2022_1,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Hoạt động chính,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > % quyền biểu quyết31/12/2022 1/1/2022,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > % lợi ích kinh tế31/12/2022 1/1/2022,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > % lợi ích kinh tế31/12/2022 1/1/2022_1
Công ty TNHH Nuôi trồngThủy sản Minh Phú – Lộc An,Công ty TNHH Nuôi trồngThủy sản Minh Phú – Lộc An,Công ty TNHH Nuôi trồngThủy sản Minh Phú – Lộc An,"Nuôi trồng thủy sản; sản xuất và kinh doanh thực phẩm thủy sản, kinh doanh máy móc và thiết bị phục vụ ngành nuôi trồng thủy sản.","100,00%","100,00%","100,00%",,1.0,1.0,1.0
Công ty TNHH Sản xuất Chế phẩm Sinh học Minh Phú (i) (ii),Công ty TNHH Sản xuất Chế phẩm Sinh học Minh Phú (i) (ii),Công ty TNHH Sản xuất Chế phẩm Sinh học Minh Phú (i) (ii),Sản xuất các sản phẩm sinh học và phân bón phục vụ ngành nông nghiệp.,"92,27%","92,27%","92,27%",,0.9227,0.9227,0.9227
Công ty TNHH MTV Chuỗi cung ứng Thủy sản Minh Phú,Công ty TNHH MTV Chuỗi cung ứng Thủy sản Minh Phú,Công ty TNHH MTV Chuỗi cung ứng Thủy sản Minh Phú,Nuôi trồng sản phẩm thủy sản; chế biến sản phẩm thủy sản; sản xuất thức ăn nuôi trồng thủy sản; kinh doanh máy móc và thiết bị cho nuôi trồng thủy sản.,"100,00%","100,00%","100,00%",,1.0,1.0,1.0
Công ty TNHH Kho vận Ebisumo,Công ty TNHH Kho vận Ebisumo,Công ty TNHH Kho vận Ebisumo,Kinh doanh các sản phẩm thủy sản.,"100,00%","100,00%","100,00%",,1.0,1.0,1.0
Công ty TNHH Thực phẩm xanhMinh Phú (i),Công ty TNHH Thực phẩm xanhMinh Phú (i),Công ty TNHH Thực phẩm xanhMinh Phú (i),Kinh doanh các sản phẩm nông lâm nghiệp.,"100,00%","100,00%","100,00%",,1.0,1.0,1.0
Công ty TNHH Nông nghiệpCông nghệ cao Minh Phú (i),Công ty TNHH Nông nghiệpCông nghệ cao Minh Phú (i),Công ty TNHH Nông nghiệpCông nghệ cao Minh Phú (i),"Chế biến, bảo quản thủy sản và các sản phẩm từ thủy sản.","100,00%","100,00%","100,00%",,1.0,1.0,1.0
Công ty TNHH Xuất khẩuThủy sản Minh Phú,Công ty TNHH Xuất khẩuThủy sản Minh Phú,Công ty TNHH Xuất khẩuThủy sản Minh Phú,Kinh doanh các sản phẩm thủy sản.,"100,00%","100,00%","100,00%",,1.0,1.0,1.0
Công ty Cổ phần Công nghệOtanics (i),Công ty Cổ phần Công nghệOtanics (i),Công ty Cổ phần Công nghệOtanics (i),Nghiên cứu khoa học và phát triển công nghệ.,"51,00%","51,00%","51,00%",,0.51,0.51,0.51
Công ty TNHH Thức ăn Tôm xanh Minh Phú (iii),Công ty TNHH Thức ăn Tôm xanh Minh Phú (iii),Công ty TNHH Thức ăn Tôm xanh Minh Phú (iii),"Xây dựng cảng vận tải, cảng đầu khí; kinh doanh đầu khí, kinh doanh các loại máy móc và thiết bị cho sản xuất.","99,09%","99,09%","99,09%",,0.9909,0.9909,0.9909
