row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2022,Địa chỉ,% quyền biểu quyết,% lợi ích kinh tế,Giá trị ghi số VND,Giá trị hợp lý VND,numeric__Địa chỉ,numeric__% quyền biểu quyết,numeric__% lợi ích kinh tế,numeric__Giá trị ghi số VND,numeric__Giá trị hợp lý VND
Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,,,,,
Công ty liên kết▪ Công ty TNHH Dịch vụ Kỹ thuật Nuôi trồng Thủy sảnMinh Phú Aquamekong (“Aquamekong”)▪ Công ty Cổ phần Mekong Logistics (“Mekong Logistics”),Đầu tư góp vốn vào: > Công ty liên kết▪ Công ty TNHH Dịch vụ Kỹ thuật Nuôi trồng Thủy sảnMinh Phú Aquamekong (“Aquamekong”)▪ Công ty Cổ phần Mekong Logistics (“Mekong Logistics”),Công ty liên kết▪ Công ty TNHH Dịch vụ Kỹ thuật Nuôi trồng Thủy sảnMinh Phú Aquamekong (“Aquamekong”)▪ Công ty Cổ phần Mekong Logistics (“Mekong Logistics”),"Thành phố Hồ Chí Minh, Việt NamTỉnh Hậu Giang, Việt Nam","49,0%49,0%","49,0%49,0%",10.358.838.172195.760.511.724,(*) (*),,,,1.035883817219576e+22,
,,,,,,206.119.349.896,,,,,206119349896.0,
