row_label_raw,row_label_full,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
1.224.134.874.094,1.224.134.874.094,1.224.134.874.094,1.526.702.274.133,238.165.254.860,27.421.326.236,3.016.423.729.323,1526702274133.0,238165254860.0,27421326236.0,3016423729323.0
21.099.597.893,21.099.597.893,21.099.597.893,92.472.924.301,12.279.473.715,1.352.430.182,127.204.426.091,92472924301.0,12279473715.0,1352430182.0,127204426091.0
180.433.770.071,180.433.770.071,180.433.770.071,12.057.024.600,165.452.561.005,93.600.000,358.036.955.676,12057024600.0,165452561005.0,93600000.0,358036955676.0
2.774.922.728,2.774.922.728,2.774.922.728,-,-,-,2.774.922.728,,,,2774922728.0
-,-,-,(37.912.189.536),(10.410.051.512),(37.263.117),(48.359.504.165),-37912189536.0,-10410051512.0,-37263117.0,-48359504165.0
464.045.784,464.045.784,464.045.784,-,-,24.138.240,488.184.024,,,24138240.0,488184024.0
1.428.907.210.570,1.428.907.210.570,1.428.907.210.570,1.593.320.033.498,405.487.238.068,28.854.231.541,3.456.568.713.677,1593320033498.0,405487238068.0,28854231541.0,3456568713677.0
491.906.811.599,491.906.811.599,491.906.811.599,1.181.485.542.689,150.752.927.271,21.391.732.403,1.845.537.013.962,1181485542689.0,150752927271.0,21391732403.0,1845537013962.0
113.204.793.390,113.204.793.390,113.204.793.390,63.154.962.889,18.843.905.318,1.477.168.404,196.680.830.001,63154962889.0,18843905318.0,1477168404.0,196680830001.0
-,-,-,(37.010.309.695),(10.236.397.119),(37.263.117),(47.283.969.931),-37010309695.0,-10236397119.0,-37263117.0,-47283969931.0
176.858.790,176.858.790,176.858.790,-,-,24.138.240,200.997.030,,,24138240.0,200997030.0
605.288.463.779,605.288.463.779,605.288.463.779,1.207.630.195.883,159.360.435.470,22.855.775.930,1.995.134.871.062,1207630195883.0,159360435470.0,22855775930.0,1995134871062.0
732.228.062.495,732.228.062.495,732.228.062.495,345.216.731.444,87.412.327.589,6.029.593.833,1.170.886.715.361,345216731444.0,87412327589.0,6029593833.0,1170886715361.0
823.618.746.791,823.618.746.791,823.618.746.791,385.689.837.615,246.126.802.598,5.998.455.611,1.461.433.842.615,385689837615.0,246126802598.0,5998455611.0,1461433842615.0
