row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2022VND,2021VND,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,
Công ty Cổ phần Mekong Logistics,Công ty Cổ phần Mekong Logistics,Công ty Cổ phần Mekong Logistics,Công ty Cổ phần Mekong Logistics,Công ty Cổ phần Mekong Logistics,,
Mua dịch vụ,Công ty Cổ phần Mekong Logistics > Mua dịch vụ,Mua dịch vụ,106.688.876.187,62.079.213.417,106688876187.0,62079213417.0
Cổ tức nhận được,Công ty Cổ phần Mekong Logistics > Cổ tức nhận được,Cổ tức nhận được,49.000.000.000,-,49000000000.0,
Cung cấp dịch vụ,Công ty Cổ phần Mekong Logistics > Cung cấp dịch vụ,Cung cấp dịch vụ,14.994.911,-,14994911.0,
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,
Công ty Cổ phần Đầu tư Long Phụng,Công ty Cổ phần Đầu tư Long Phụng,Công ty Cổ phần Đầu tư Long Phụng,Công ty Cổ phần Đầu tư Long Phụng,Công ty Cổ phần Đầu tư Long Phụng,,
Chi phí thuê văn phòng,Công ty Cổ phần Đầu tư Long Phụng > Chi phí thuê văn phòng,Chi phí thuê văn phòng,3.166.819.020,10.592.867.207,3166819020.0,10592867207.0
Cá nhân,Cá nhân,Cá nhân,Cá nhân,Cá nhân,,
Thanh lý các khoản đầu tư góp vốn vào đơn vị khác,Thanh lý các khoản đầu tư góp vốn vào đơn vị khác,Thanh lý các khoản đầu tư góp vốn vào đơn vị khác,-,-,,
Các cổ đông chính,Các cổ đông chính,Các cổ đông chính,Các cổ đông chính,Các cổ đông chính,,
MPM Investments Pte. Ltd.,MPM Investments Pte. Ltd.,MPM Investments Pte. Ltd.,MPM Investments Pte. Ltd.,MPM Investments Pte. Ltd.,,
Chia cổ tức,MPM Investments Pte. Ltd. > Chia cổ tức,Chia cổ tức,161.460.000.000,139.955.514.660,161460000000.0,139955514660.0
Chu Thị Bình,Chu Thị Bình,Chu Thị Bình,Chu Thị Bình,Chu Thị Bình,,
Chia cổ tức,Chu Thị Bình > Chia cổ tức,Chia cổ tức,80.839.241.570,69.937.883.964,80839241570.0,69937883964.0
Lê Văn Quang,Lê Văn Quang,Lê Văn Quang,Lê Văn Quang,Lê Văn Quang,,
Chia cổ tức,Lê Văn Quang > Chia cổ tức,Chia cổ tức,74.036.024.105,63.996.752.430,74036024105.0,63996752430.0
