row_label_raw,row_label_full,Tại ngày và cho năm kết thúc ngày31 tháng 12 năm 2022,Tổng tài sản VND,Tổng nợ phải trả VND,Tổng vốn chủ sở hữu VND,Lợi nhuận thuần sau thuế VND,numeric__Tổng tài sản VND,numeric__Tổng nợ phải trả VND,numeric__Tổng vốn chủ sở hữu VND,numeric__Lợi nhuận thuần sau thuế VND
Aquamekong,Aquamekong,Aquamekong,42.067.452.110,19.792.105.851,22.275.346.259,4.580.812.832,42067452110.0,19792105851.0,22275346259.0,4580812832.0
Mekong Logistics,Mekong Logistics,Mekong Logistics,399.038.211.159,6.132.752.903,392.905.458.256,60.318.803.142,399038211159.0,6132752903.0,392905458256.0,60318803142.0
Tại ngày và cho năm kết thúc ngày31 tháng 12 năm 2021,Tại ngày và cho năm kết thúc ngày31 tháng 12 năm 2021,Tại ngày và cho năm kết thúc ngày31 tháng 12 năm 2021,Tổng tài sản VND,Tổng nợ phải trả VND,Tổng vốn chủ sở hữu VND,Lợi nhuận thuần sau thuế VND,,,,
Aquamekong,Tại ngày và cho năm kết thúc ngày31 tháng 12 năm 2021 > Aquamekong,Aquamekong,20.756.289.948,5.362.601.848,15.393.688.100,748.431.920,20756289948.0,5362601848.0,15393688100.0,748431920.0
Mekong Logistics,Tại ngày và cho năm kết thúc ngày31 tháng 12 năm 2021 > Mekong Logistics,Mekong Logistics,442.828.639.661,10.241.984.547,432.586.655.114,63.210.723.252,442828639661.0,10241984547.0,432586655114.0,63210723252.0
