row_label_raw,row_label_full,Ngày 1 tháng 1 năm 2022,Địa chỉ,% quyền biểu quyết,% lợi ích kinh tế,Giá trị ghi số VND,Giá trị hợp lý VND,numeric__Địa chỉ,numeric__% quyền biểu quyết,numeric__% lợi ích kinh tế,numeric__Giá trị ghi số VND,numeric__Giá trị hợp lý VND
Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,,,,,
Công ty liên kết▪ Công ty TNHH Dịch vụ Kỹ thuật Nuôi trồng Thủy sảnMinh Phú Aquamekong (“Aquamekong”)▪ Công ty Cổ phần Mekong Logistics (“Mekong Logistics”),Đầu tư góp vốn vào: > Công ty liên kết▪ Công ty TNHH Dịch vụ Kỹ thuật Nuôi trồng Thủy sảnMinh Phú Aquamekong (“Aquamekong”)▪ Công ty Cổ phần Mekong Logistics (“Mekong Logistics”),Công ty liên kết▪ Công ty TNHH Dịch vụ Kỹ thuật Nuôi trồng Thủy sảnMinh Phú Aquamekong (“Aquamekong”)▪ Công ty Cổ phần Mekong Logistics (“Mekong Logistics”),"Thành phố Hồ Chí Minh, Việt NamTỉnh Hậu Giang, Việt Nam","49,0%49,0%","49,0%49,0%",8.114.239.884215.204.298.185,(*)(*),,,,8.114239884215204e+21,
Công ty liên kết▪ Công ty TNHH Dịch vụ Kỹ thuật Nuôi trồng Thủy sảnMinh Phú Aquamekong (“Aquamekong”)▪ Công ty Cổ phần Mekong Logistics (“Mekong Logistics”),Đầu tư góp vốn vào: > Công ty liên kết▪ Công ty TNHH Dịch vụ Kỹ thuật Nuôi trồng Thủy sảnMinh Phú Aquamekong (“Aquamekong”)▪ Công ty Cổ phần Mekong Logistics (“Mekong Logistics”),Công ty liên kết▪ Công ty TNHH Dịch vụ Kỹ thuật Nuôi trồng Thủy sảnMinh Phú Aquamekong (“Aquamekong”)▪ Công ty Cổ phần Mekong Logistics (“Mekong Logistics”),"Thành phố Hồ Chí Minh, Việt NamTỉnh Hậu Giang, Việt Nam","49,0%49,0%","49,0%49,0%",223.318.538.069,(*)(*),,,,223318538069.0,
Công ty khác▪ Công ty Cổ phần Hạ tầng Sài Gòn – Cà Mau,Đầu tư góp vốn vào: > Công ty khác▪ Công ty Cổ phần Hạ tầng Sài Gòn – Cà Mau,Công ty khác▪ Công ty Cổ phần Hạ tầng Sài Gòn – Cà Mau,"Tỉnh Cà Mau, Việt Nam","10,0%","10,0%",7.000.000.000,(*),,0.1,0.1,7000000000.0,
