row_label_raw,row_label_full,col_0,Quyền sử dụng đất không xác định thời hạn VND,Quyền sử dụng đất có xác định thời hạn VND,Phần mềm máy tính VND,Tổng VND,numeric__Quyền sử dụng đất không xác định thời hạn VND,numeric__Quyền sử dụng đất có xác định thời hạn VND,numeric__Phần mềm máy tính VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,18.954.469.320,131.943.393.304,32.067.050.330,182.964.912.954,18954469320.0,131943393304.0,32067050330.0,182964912954.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,472.727.273,472.727.273,,,472727273.0,472727273.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,-,1.713.750.000,1.713.750.000,,,1713750000.0,1713750000.0
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,549.995.880,-,(208.865.730),341.130.150,549995880.0,,-208865730.0,341130150.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,19.504.465.200,131.943.393.304,34.044.661.873,185.492.520.377,19504465200.0,131943393304.0,34044661873.0,185492520377.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,13.326.030.031,16.329.883.354,29.655.913.385,,13326030031.0,16329883354.0,29655913385.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,2.984.745.729,2.346.165.050,5.330.910.779,,2984745729.0,2346165050.0,5330910779.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,16.310.775.760,18.676.048.404,34.986.824.164,,16310775760.0,18676048404.0,34986824164.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,18.954.469.320,118.617.363.273,15.737.166.976,153.308.999.569,18954469320.0,118617363273.0,15737166976.0,153308999569.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,19.504.465.200,115.632.617.544,15.368.613.469,150.505.696.213,19504465200.0,115632617544.0,15368613469.0,150505696213.0
