row_label_raw,row_label_full,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Cho năm kết thúc ngày31 tháng 12 năm 2021,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Nuôi trồngsản phẩm thủy sảnVND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Chế biếnsản phẩm thủy sảnVND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Kinh doanhsản phẩm thủy sảnVND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Bộ phậnkinh doanh khácVND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Loại trừVND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Hợp nhấtVND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Nuôi trồngsản phẩm thủy sảnVND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Chế biếnsản phẩm thủy sảnVND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Kinh doanhsản phẩm thủy sảnVND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Bộ phậnkinh doanh khácVND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Loại trừVND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Hợp nhấtVND
Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,1.288.073.000,6.441.648.968.594,7.023.023.159.784,111.544.573.399,-,13.577.504.774.777,1288073000.0,6441648968594.0,7023023159784.0,111544573399.0,,13577504774777.0
Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,1.941.357.643.538,8.304.351.839.799,901.923.747.319,259.151.447.147,(11.406.784.677.803),-,1941357643538.0,8304351839799.0,901923747319.0,259151447147.0,-11406784677803.0,
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,1.942.645.716.538,14.746.000.808.393,7.924.946.907.103,370.696.020.546,(11.406.784.677.803),13.577.504.774.777,1942645716538.0,14746000808393.0,7924946907103.0,370696020546.0,-11406784677803.0,13577504774777.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,(268.198.645.625),864.349.774.591,173.489.666.481,29.168.911.728,(83.918.911.890),714.890.795.285,-268198645625.0,864349774591.0,173489666481.0,29168911728.0,-83918911890.0,714890795285.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,106.122.896.778,,,,,,106122896778.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,(86.208.989.219),,,,,,-86208989219.0
Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,,,31.339.986.034,,,,,,31339986034.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,766.144.688.878,,,,,,766144688878.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,12.628.710.985,,,,,,12628710985.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,(3.408.419.827),,,,,,-3408419827.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,,(118.772.731.792),,,,,,-118772731792.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,,,,,,656.592.248.244,,,,,,656592248244.0
