row_label_raw,row_label_full,Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau,Loaitiền > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau,Lãi suất năm > 2022 > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau,Lãi suất năm > 2021 > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau,31/12/2022VND > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau,1/1/2022VND > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau,numeric__Loaitiền > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau,numeric__Lãi suất năm > 2022 > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau,numeric__Lãi suất năm > 2021 > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau,numeric__31/12/2022VND > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau,numeric__1/1/2022VND > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Cà Mau
▪ Khoản vay 1,▪ Khoản vay 1,▪ Khoản vay 1,USD,"1,6% - 4,2%","1,6%",645.126.539.316,355.568.350.360,,,0.016,645126539316.0,355568350360.0
▪ Khoản vay 2,▪ Khoản vay 2,▪ Khoản vay 2,VND,"7,0% - 8,0%",-,321.044.645.872,-,,,,321044645872.0,
▪ Khoản vay 3,▪ Khoản vay 3,▪ Khoản vay 3,USD,"1,6% - 4,2%","1,6% - 1,8%",904.136.122.539,1.507.839.166.240,,,,904136122539.0,1507839166240.0
▪ Khoản vay 4,▪ Khoản vay 4,▪ Khoản vay 4,VND,"7,0% - 8,0%",-,206.098.408.453,-,,,,206098408453.0,
▪ Khoản vay 5,▪ Khoản vay 5,▪ Khoản vay 5,VND,"3,9%",-,193.911.401.197,-,,0.039,,193911401197.0,
▪ Khoản vay 6,▪ Khoản vay 6,▪ Khoản vay 6,VND,"3,9%",-,65.011.874.494,-,,0.039,,65011874494.0,
Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau,,,,,
▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau > ▪ Khoản vay 1,▪ Khoản vay 1,USD,"1,6% - 4,2%","1,6% - 1,8%",734.126.214.800,933.927.125.800,,,,734126214800.0,933927125800.0
▪ Khoản vay 2,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau > ▪ Khoản vay 2,▪ Khoản vay 2,USD,"1,6% - 4,2%","1,6% - 1,8%",497.787.019.005,451.791.049.264,,,,497787019005.0,451791049264.0
Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam – Chi nhánh Cà Mau,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Cà Mau > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam – Chi nhánh Cà Mau,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam – Chi nhánh Cà Mau,USD,"1,6% - 4%","1,6%",190.264.403.600,1.374.043.960,,,0.016,190264403600.0,1374043960.0
