row_label_raw,row_label_full,Cho năm kết thúc ngày31 tháng 12 năm 2022,Nuôi trồngsản phẩm thủy sảnVND,Chế biếnsản phẩm thủy sảnVND,Kinh doanhsản phẩm thủy sảnVND,Bộ phậnkinh doanh khácVND,Loại trừVND,Hợp nhấtVND,numeric__Nuôi trồngsản phẩm thủy sảnVND,numeric__Chế biếnsản phẩm thủy sảnVND,numeric__Kinh doanhsản phẩm thủy sảnVND,numeric__Bộ phậnkinh doanh khácVND,numeric__Loại trừVND,numeric__Hợp nhấtVND
Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,13.251.650.913,8.262.542.053.662,7.969.929.350.564,179.465.335.702,,16.425.188.390.841,13251650913.0,8262542053662.0,7969929350564.0,179465335702.0,,16425188390841.0
Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,1.717.277.752.620,6.025.234.280.980,427.646.615.626,526.189.883.141,(8.696.348.532.367),,1717277752620.0,6025234280980.0,427646615626.0,526189883141.0,-8696348532367.0,
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,1.730.529.403.533,14.287.776.334.642,8.397.575.966.190,705.655.218.843,(8.696.348.532.367),16.425.188.390.841,1730529403533.0,14287776334642.0,8397575966190.0,705655218843.0,-8696348532367.0,16425188390841.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,(250.570.097.752),990.577.845.704,224.296.905.288,48.850.337.559,28.983.745.796,1.042.138.736.595,-250570097752.0,990577845704.0,224296905288.0,48850337559.0,28983745796.0,1042138736595.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,221.222.514.314,,,,,,221222514314.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,(360.852.060.349),,,,,,-360852060349.0
Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,,,31.800.811.827,,,,,,31800811827.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,934.310.002.387,,,,,,934310002387.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,11.833.821.201,,,,,,11833821201.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,(5.802.039.785),,,,,,-5802039785.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,,(108.159.149.830),,,,,,-108159149830.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,,,,,,832.182.633.973,,,,,,832182633973.0
