row_label_raw,row_label_full,STT,Công ty liên kết,Hoạt động chính,Tỷ lệ lợi ích và quyền biểu quyết của Tập đoàn,Tỷ lệ lợi ích và quyền biểu quyết của Tập đoàn_1,numeric__Công ty liên kết,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích và quyền biểu quyết của Tập đoàn,numeric__Tỷ lệ lợi ích và quyền biểu quyết của Tập đoàn_1
STT,STT,STT,Công ty liên kết,Hoạt động chính,31/12/2016,1/1/2016,,,,
1,STT > 1,1,Công ty CP Khai khoáng Hòa Phát – SSG,"Khai thác và thu gom than non; khai thác quãng sắt không chứa sắt; hoạt động dịch vụ hỗ trợ khai thác mỏ và quãng khác; và sản xuất than cốc, với, thạch cao.",38%,38%,,,0.38,0.38
(i),(i),(i),Đây là các công ty con mới thành lập trong năm.,,,,,,,
(ii),(ii),(ii),Đây là các công ty con cấp 1 được Công ty chuyển nhượng cho Công ty CP Phát triển Nông nghiệp Hòa Phát trong năm.,,,,,,,
(iii),(iii),(iii),Đây là công ty con cấp 1 được Công ty chuyển nhượng cho Công ty CP Đầu tư Khoáng sản An Thông trong năm.,,,,,,,
(iv),(iv),(iv),Đây là các công ty con được mua trong năm.,,,,,,,
(v),(v),(v),"Đây là các công ty con cấp 2 được Công ty CP Thép Hòa Phát chuyển nhượng cho Công ty CP Đầu tư Khoáng sản An Thông, sau đó được chuyển nhượng cho bên thứ ba trong năm.",,,,,,,
(vi),(vi),(vi),Đây là các công con được Công ty CP Đầu tư Khoáng sản An Thông chuyển nhượng cho Công ty CP Phát triển Chân nuôi Hòa Phát trong năm.,,,,,,,
(vii),(vii),(vii),Đây là công ty con đã giải thể trong năm.,,,,,,,
Các công ty con và công ty liên kết của Công ty đều được thành lập tại Việt Nam.,Các công ty con và công ty liên kết của Công ty đều được thành lập tại Việt Nam.,Các công ty con và công ty liên kết của Công ty đều được thành lập tại Việt Nam.,Các công ty con và công ty liên kết của Công ty đều được thành lập tại Việt Nam.,Các công ty con và công ty liên kết của Công ty đều được thành lập tại Việt Nam.,Các công ty con và công ty liên kết của Công ty đều được thành lập tại Việt Nam.,Các công ty con và công ty liên kết của Công ty đều được thành lập tại Việt Nam.,,,,
"Tại ngày 31 tháng 12 năm 2016, Tập đoàn có 12.851 nhân viên (1/1/2016: 11.757 nhân viên).","Tại ngày 31 tháng 12 năm 2016, Tập đoàn có 12.851 nhân viên (1/1/2016: 11.757 nhân viên).","Tại ngày 31 tháng 12 năm 2016, Tập đoàn có 12.851 nhân viên (1/1/2016: 11.757 nhân viên).","Tại ngày 31 tháng 12 năm 2016, Tập đoàn có 12.851 nhân viên (1/1/2016: 11.757 nhân viên).","Tại ngày 31 tháng 12 năm 2016, Tập đoàn có 12.851 nhân viên (1/1/2016: 11.757 nhân viên).","Tại ngày 31 tháng 12 năm 2016, Tập đoàn có 12.851 nhân viên (1/1/2016: 11.757 nhân viên).","Tại ngày 31 tháng 12 năm 2016, Tập đoàn có 12.851 nhân viên (1/1/2016: 11.757 nhân viên).",,,,
