row_label_raw,row_label_full,col_0,Công ty CP Năng lượng Hòa Phát VND,Công ty TNHH MTV Chăn nuôi Hòa Phát Hòa Bình VND,Công ty TNHH Chăn nuôi Hòa Phước VND,Tổng cộng VND,numeric__Công ty CP Năng lượng Hòa Phát VND,numeric__Công ty TNHH MTV Chăn nuôi Hòa Phát Hòa Bình VND,numeric__Công ty TNHH Chăn nuôi Hòa Phước VND,numeric__Tổng cộng VND
Giá gốc,Giá gốc,Giá gốc,Giá gốc,Giá gốc,Giá gốc,Giá gốc,,,,
Số dư đầu năm,Giá gốc > Số dư đầu năm,Số dư đầu năm,206.244.396.684,-,-,206.244.396.684,206244396684.0,,,206244396684.0
Tăng trong năm,Giá gốc > Tăng trong năm,Tăng trong năm,-,4.367.130.430,578.844.304,4.945.974.734,,4367130430.0,578844304.0,4945974734.0
Số dư cuối năm,Giá gốc > Số dư cuối năm,Số dư cuối năm,206.244.396.684,4.367.130.430,578.844.304,211.190.371.418,206244396684.0,4367130430.0,578844304.0,211190371418.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,115.153.121.481,-,-,115.153.121.481,115153121481.0,,,115153121481.0
Phân bổ trong năm,Giá trị hao mòn lũy kế > Phân bổ trong năm,Phân bổ trong năm,20.624.439.670,-,578.844.304,21.203.283.974,20624439670.0,,578844304.0,21203283974.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,135.777.561.151,-,578.844.304,136.356.405.455,135777561151.0,,578844304.0,136356405455.0
Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,,,,
Số dư đầu năm,Giá trị ghi sổ > Số dư đầu năm,Số dư đầu năm,91.091.275.203,-,-,91.091.275.203,91091275203.0,,,91091275203.0
Số dư cuối năm,Giá trị ghi sổ > Số dư cuối năm,Số dư cuối năm,70.466.835.533,4.367.130.430,-,74.833.965.963,70466835533.0,4367130430.0,,74833965963.0
