row_label_raw,row_label_full,col_0,Nhà cửa VND,Quyền sử dụng đất VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Quyền sử dụng đất VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,220.669.064.952,15.780.994.600,236.450.059.552,220669064952.0,15780994600.0,236450059552.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,19.514.545.865,-,19.514.545.865,19514545865.0,,19514545865.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,7.786.557.067,-,7.786.557.067,7786557067.0,,7786557067.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(18.122.668.524),-,(18.122.668.524),-18122668524.0,,-18122668524.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,229.847.499.360,15.780.994.600,245.628.493.960,229847499360.0,15780994600.0,245628493960.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,43.955.766.732,-,43.955.766.732,43955766732.0,,43955766732.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,10.434.610.855,-,10.434.610.855,10434610855.0,,10434610855.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(12.373.825.216),-,(12.373.825.216),-12373825216.0,,-12373825216.0
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,855.024.009,-,855.024.009,855024009.0,,855024009.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,42.871.576.380,-,42.871.576.380,42871576380.0,,42871576380.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,176.713.298.220,15.780.994.600,192.494.292.820,176713298220.0,15780994600.0,192494292820.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,186.975.922.980,15.780.994.600,202.756.917.580,186975922980.0,15780994600.0,202756917580.0
