row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy vi tínhVND,Tải sản khácVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy vi tínhVND,numeric__Tải sản khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,188.088.756.072,3.659.413.523,1.500.909.664,193.249.079.259,188088756072.0,3659413523.0,1500909664.0,193249079259.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.200.000.000,4.795.047.927,-,5.995.047.927,1200000000.0,4795047927.0,,5995047927.0
Chuyển từ xây dựng cơbản dở dang,Nguyên giá > Chuyển từ xây dựng cơbản dở dang,Chuyển từ xây dựng cơbản dở dang,16.766.590.000,-,-,16.766.590.000,16766590000.0,,,16766590000.0
Thanh lý công ty con,Nguyên giá > Thanh lý công ty con,Thanh lý công ty con,-,(40.000.000),-,(40.000.000),,-40000000.0,,-40000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,206.055.346.072,8.414.461.450,1.500.909.664,215.970.717.186,206055346072.0,8414461450.0,1500909664.0,215970717186.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,24.967.658.624,2.820.172.605,1.500.909.664,29.288.740.893,24967658624.0,2820172605.0,1500909664.0,29288740893.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.267.811.717,805.480.761,-,4.073.292.478,3267811717.0,805480761.0,,4073292478.0
Thanh lý công ty con,Giá trị hao mòn lũy kế > Thanh lý công ty con,Thanh lý công ty con,-,(40.000.000),-,(40.000.000),,-40000000.0,,-40000000.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,28.235.470.341,3.585.653.366,1.500.909.664,33.322.033.371,28235470341.0,3585653366.0,1500909664.0,33322033371.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,163.121.097.448,839.240.918,-,163.960.338.366,163121097448.0,839240918.0,,163960338366.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,177.819.875.731,4.828.808.084,-,182.648.683.815,177819875731.0,4828808084.0,,182648683815.0
