row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thép VND,Sản xuất công nghiệp khác VND,Bắt động sản VND,Nông nghiệp VND,Dầu tư tài chính (Công ty mẹ) VND,Loại trừ VND,Hợp nhất VND,numeric__Sản xuất và kinh doanh thép VND,numeric__Sản xuất công nghiệp khác VND,numeric__Bắt động sản VND,numeric__Nông nghiệp VND,numeric__Dầu tư tài chính (Công ty mẹ) VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,,,,,,,
Doanh thu thuần ra bên ngoài,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Doanh thu thuần ra bên ngoài,Doanh thu thuần ra bên ngoài,22.585.958.233.245,2.472.399.094.213,1.062.606.385.074,1.331.968.401.801,-,-,27.452.932.114.333,22585958233245.0,2472399094213.0,1062606385074.0,1331968401801.0,,,27452932114333.0
Doanh thu thuần giữa các bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,15.080.757.770.381,132.961.038.668,64.534.033.233,-,26.162.521.000,(15.304.415.363.282),-,15080757770381.0,132961038668.0,64534033233.0,,26162521000.0,-15304415363282.0,
Tổng doanh thu của bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,37.666.716.003.626,2.605.360.132.881,1.127.140.418.307,1.331.968.401.801,26.162.521.000,(15.304.415.363.282),27.452.932.114.333,37666716003626.0,2605360132881.0,1127140418307.0,1331968401801.0,26162521000.0,-15304415363282.0,27452932114333.0
Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,3.518.353.837.431,423.612.111.063,387.206.050.544,(46.782.297.035),1.787.061.911.805,(1.978.265.442.657),4.091.186.171.151,3518353837431.0,423612111063.0,387206050544.0,-46782297035.0,1787061911805.0,-1978265442657.0,4091186171151.0
Thu nhập khác,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Thu nhập khác,Thu nhập khác,290.232.381.080,88.656.070.520,14.568.708.595,667.677.280,6.958.601.854,(86.537.175.630),314.546.263.699,290232381080.0,88656070520.0,14568708595.0,667677280.0,6958601854.0,-86537175630.0,314546263699.0
Chi phí khác,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Chi phí khác,Chi phí khác,(403.174.068.613),(2.985.989.420),(9.544.255.602),(120.949.033),(579.648.126),501.140.740,(415.903.770.054),-403174068613.0,-2985989420.0,-9544255602.0,-120949033.0,-579648126.0,501140740.0,-415903770054.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,(309.048.816.014),(105.197.665.823),(100.240.295.233),-,(2.492.111.243),-,(516.978.888.313),-309048816014.0,-105197665823.0,-100240295233.0,,-2492111243.0,,-516978888313.0
Lợi ích thuế thu nhập hoãn lại,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Lợi ích thuế thu nhập hoãn lại,Lợi ích thuế thu nhập hoãn lại,671.080.393,2.859.125.454,16.370.220.408,-,-,11.632.285.041,31.532.711.296,671080393.0,2859125454.0,16370220408.0,,,11632285041.0,31532711296.0
Lợi nhuận thuần sau thuế,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,3.097.034.414.277,406.943.651.794,308.360.428.712,(46.235.568.788),1.790.948.754.290,(2.052.669.192.506),3.504.382.487.779,3097034414277.0,406943651794.0,308360428712.0,-46235568788.0,1790948754290.0,-2052669192506.0,3504382487779.0
