row_label_raw,row_label_full,STT,Công ty con cấp 3,Hoạt động chính,Tỷ lệ lợi ích trực tiếp của công ty con cấp 2,Tỷ lệ lợi ích trực tiếp của công ty con cấp 2_1,Tỷ lệ lợi ích của Tập đoàn,Tỷ lệ lợi ích của Tập đoàn_1,numeric__Công ty con cấp 3,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích trực tiếp của công ty con cấp 2,numeric__Tỷ lệ lợi ích trực tiếp của công ty con cấp 2_1,numeric__Tỷ lệ lợi ích của Tập đoàn,numeric__Tỷ lệ lợi ích của Tập đoàn_1
STT,STT,STT,Công ty con cấp 3,Hoạt động chính,31/12/2016,1/1/2016,31/12/2016,1/1/2016,,,,,,
,,,Công ty con của Công ty CP Phát triển Chăn nuôi Hòa Phát,Công ty con của Công ty CP Phát triển Chăn nuôi Hòa Phát,Công ty con của Công ty CP Phát triển Chăn nuôi Hòa Phát,Công ty con của Công ty CP Phát triển Chăn nuôi Hòa Phát,Công ty con của Công ty CP Phát triển Chăn nuôi Hòa Phát,Công ty con của Công ty CP Phát triển Chăn nuôi Hòa Phát,,,,,,
1,STT > 1,1,Công ty TNHH MTV Chăn nuôi Hòa Phát Hòa Bình (iv),"Chăn nuôi gia cầm, chăn nuôi khác.",100%,-,"99,949%",-,,,1.0,,0.99949,
2,STT > 2,2,Công ty TNHH MTV Chăn nuôi Hòa Yền (i),"Chăn nuôi lợn, chăn nuôi khác.",100%,-,"99,949%",-,,,1.0,,0.99949,
3,STT > 3,3,Công ty TNHH MTV Chăn nuôi Hòa Phát Ninh Bình,"Chăn nuôi lợn, chăn nuôi gia cầm, chăn nuôi khác.",100%,100%,"99,949%","99,80%",,,1.0,1.0,0.99949,0.998
4,STT > 4,4,Công ty TNHH MTV Đầu tư Phát triển Nông nghiệp Phú Thọ (vi),"Chăn nuôi lợn, trâu, bò, trồng trọt, chăn nuôi hỗn hợp, chế biến, bảo quản rau, quả, thịt và các sản phẩm từ thịt.",100%,-,"99,949%",-,,,1.0,,0.99949,
5,STT > 5,5,Công ty TNHH MTV Chăn nuôi Hòa Phát Lạc Thủy (vii),"Chăn nuôi lợn, chăn nuôi gia cầm, chăn nuôi khác.",-,100%,-,"99,80%",,,,1.0,,0.998
6,STT > 6,6,Công ty TNHH MTV Chăn nuôi Hòa Phát Bắc Giang,"Chăn nuôi lợn, chăn nuôi gia cầm, chăn nuôi khác.",100%,100%,"99,949%","99,80%",,,1.0,1.0,0.99949,0.998
7,STT > 7,7,Công ty TNHH MTV Chăn nuôi Hòa Phát Lạng Sơn,"Chăn nuôi lợn, chăn nuôi gia cầm, chăn nuôi khác.",100%,100%,"99,949%","99,80%",,,1.0,1.0,0.99949,0.998
8,STT > 8,8,Công ty TNHH MTV Chăn nuôi Hòa Phát Thái Bình (i),"Chăn nuôi lợn, chăn nuôi gia cầm, chăn nuôi khác.",100%,-,100%,-,,,1.0,,1.0,
