row_label_raw,row_label_full,col_0,31/12/2016VND,1/1/2016VND,numeric__31/12/2016VND,numeric__1/1/2016VND
Phải trả Công ty TNHH RHI Retractories Asia-Pacific PTE,Phải trả Công ty TNHH RHI Retractories Asia-Pacific PTE,Phải trả Công ty TNHH RHI Retractories Asia-Pacific PTE,11.707.045.832,7.384.565.916,11707045832.0,7384565916.0
Nhận đặt cọc mua căn hộ Mandarin 2,Nhận đặt cọc mua căn hộ Mandarin 2,Nhận đặt cọc mua căn hộ Mandarin 2,26.048.470.074,-,26048470074.0,
Phải trả Công ty CP Golden Gain Enterprises,Phải trả Công ty CP Golden Gain Enterprises,Phải trả Công ty CP Golden Gain Enterprises,3.756.425.917,3.756.425.917,3756425917.0,3756425917.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,1.024.519.687,106.154.801,1024519687.0,106154801.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,1.387.646.000,1.549.770.000,1387646000.0,1549770000.0
"Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",1.517.880.000,2.406.910.000,1517880000.0,2406910000.0
Chiết khấu thương mại,Chiết khấu thương mại,Chiết khấu thương mại,63.864.160.176,41.960.588.602,63864160176.0,41960588602.0
"Kinh phí công đoàn, bảo hiểm xã hội và bảo hiểm y tế","Kinh phí công đoàn, bảo hiểm xã hội và bảo hiểm y tế","Kinh phí công đoàn, bảo hiểm xã hội và bảo hiểm y tế",12.992.955.133,8.788.887.474,12992955133.0,8788887474.0
Hàng mượn,Hàng mượn,Hàng mượn,1.770.771.360,2.728.208.404,1770771360.0,2728208404.0
Tài sản thừa chờ xử lý,Tài sản thừa chờ xử lý,Tài sản thừa chờ xử lý,82.156.074,497.821.990,82156074.0,497821990.0
Chi phí bảo lãnh,Chi phí bảo lãnh,Chi phí bảo lãnh,361.115.980,1.275.960.726,361115980.0,1275960726.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,16.090.090.173,25.421.429.657,16090090173.0,25421429657.0
,,,140.603.236.406,95.876.723.487,140603236406.0,95876723487.0
