row_label_raw,row_label_full,Dược phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > - Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn > - Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,31/12/2016 > Giá trị ghi số Triệu VND > 693.499 > 59.891,31/12/2016 > Giá trị hợp lý Triệu VND > 693.499 > (*),1/1/2016 > Giá trị ghi số Triệu VND > 758.095 > 83.037,1/1/2016 > Giá trị hợp lý Triệu VND > 758.095 > (*),numeric__31/12/2016 > Giá trị ghi số Triệu VND > 693.499 > 59.891,numeric__31/12/2016 > Giá trị hợp lý Triệu VND > 693.499 > (*),numeric__1/1/2016 > Giá trị ghi số Triệu VND > 758.095 > 83.037,numeric__1/1/2016 > Giá trị hợp lý Triệu VND > 758.095 > (*)
Dược phân loại là các khoản cho vay và phải thu:,Dược phân loại là các khoản cho vay và phải thu:,Dược phân loại là các khoản cho vay và phải thu:,,,,,,,,
- Tiền và các khoản tương đương tiền,Dược phân loại là các khoản cho vay và phải thu: > - Tiền và các khoản tương đương tiền,- Tiền và các khoản tương đương tiền,4.558.661,4.558.661,2.372.762,2.372.762,4558661.0,4558661.0,2372762.0,2372762.0
- Phải thu ngắn hạn của khách hàng và phải thu ngắn hạn khác,Dược phân loại là các khoản cho vay và phải thu: > - Phải thu ngắn hạn của khách hàng và phải thu ngắn hạn khác,- Phải thu ngắn hạn của khách hàng và phải thu ngắn hạn khác,1.680.616,1.680.050,1.213.778,1.213.778,1680616.0,1680050.0,1213778.0,1213778.0
- Phải thu về cho vay đãi hạn và phải thu đãi hạn khác,Dược phân loại là các khoản cho vay và phải thu: > - Phải thu về cho vay đãi hạn và phải thu đãi hạn khác,- Phải thu về cho vay đãi hạn và phải thu đãi hạn khác,18.173,(*),16.485,(*),18173.0,,16485.0,
Dược phân loại là tài sản tài chính sẵn sàng để bán:,Dược phân loại là tài sản tài chính sẵn sàng để bán:,Dược phân loại là tài sản tài chính sẵn sàng để bán:,,,,,,,,
- Các khoản đầu tư vào công cụ vốn chủ sở hữu,Dược phân loại là tài sản tài chính sẵn sàng để bán: > - Các khoản đầu tư vào công cụ vốn chủ sở hữu,- Các khoản đầu tư vào công cụ vốn chủ sở hữu,18.974,(*),19.508,(*),18974.0,,19508.0,
Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,,,,,,,,
- Phải trả người bán và phải trả khác,Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Phải trả người bán và phải trả khác,- Phải trả người bán và phải trả khác,(3.992.949),(3.992.949),(2.829.306),(2.829.306),-3992949.0,-3992949.0,-2829306.0,-2829306.0
- Chỉ phí phải trả đãi hạn và phải trả đãi hạn khác,Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Chỉ phí phải trả đãi hạn và phải trả đãi hạn khác,- Chỉ phí phải trả đãi hạn và phải trả đãi hạn khác,(11.460),(*),(6.086),(*),-11460.0,,-6086.0,
- Các khoản vay,Dược phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Các khoản vay,- Các khoản vay,(6.460.371),(6.428.839),(6.855.817),(6.863.252),-6460371.0,-6428839.0,-6855817.0,-6863252.0
,,,(3.434.966),,(5.227.544),,-3434966.0,,-5227544.0,
