row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thép VND,Sản xuất công nghiệp khác VND,Bắt động sản VND,Nông nghiệp VND,Dầu tư tài chính (Công ty mẹ) VND,Loại trừ VND,Hợp nhất VND,numeric__Sản xuất và kinh doanh thép VND,numeric__Sản xuất công nghiệp khác VND,numeric__Bắt động sản VND,numeric__Nông nghiệp VND,numeric__Dầu tư tài chính (Công ty mẹ) VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,,,,,,,
Tái sản của bộ phận,Tại ngày 1 tháng 1 năm 2016 > Tái sản của bộ phận,Tái sản của bộ phận,20.794.438.209.585,1.910.318.727.906,1.910.699.885.605,965.948.963.815,1.090.838.321.365,(1.169.281.258.656),25.502.962.849.620,20794438209585.0,1910318727906.0,1910699885605.0,965948963815.0,1090838321365.0,-1169281258656.0,25502962849620.0
Khoản đầu tư vào các công ty con,Tại ngày 1 tháng 1 năm 2016 > Khoản đầu tư vào các công ty con,Khoản đầu tư vào các công ty con,-,-,-,-,8.534.660.542.633,(8.534.660.542.633),-,,,,,8534660542633.0,-8534660542633.0,
Khoản đầu tư vào công ty liên kết,Tại ngày 1 tháng 1 năm 2016 > Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,-,-,-,-,5.730.000.000,(1.923.664.075),3.806.335.925,,,,,5730000000.0,-1923664075.0,3806335925.0
Tổng tải sản,Tại ngày 1 tháng 1 năm 2016 > Tổng tải sản,Tổng tải sản,20.794.438.209.585,1.910.318.727.906,1.910.699.885.605,965.948.963.815,9.631.228.863.998,(9.705.865.465.364),25.506.769.185.545,20794438209585.0,1910318727906.0,1910699885605.0,965948963815.0,9631228863998.0,-9705865465364.0,25506769185545.0
Nợ phải trả của bộ phận,Tại ngày 1 tháng 1 năm 2016 > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,9.905.643.324.266,758.586.589.679,505.658.442.121,647.341.216.503,210.778.630.594,(987.949.402.928),11.040.058.800.235,9905643324266.0,758586589679.0,505658442121.0,647341216503.0,210778630594.0,-987949402928.0,11040058800235.0
Tổng nợ phải trả,Tại ngày 1 tháng 1 năm 2016 > Tổng nợ phải trả,Tổng nợ phải trả,9.905.643.324.266,758.586.589.679,505.658.442.121,647.341.216.503,210.778.630.594,(987.949.402.928),11.040.058.800.235,9905643324266.0,758586589679.0,505658442121.0,647341216503.0,210778630594.0,-987949402928.0,11040058800235.0
Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,,,,,,,
Chi tiểu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Chi tiểu vốn,Chi tiểu vốn,4.330.739.001.288,290.996.481.484,34.436.905.457,155.975.426.454,7.530.894.984,(42.539.121.945),4.777.139.587.722,4330739001288.0,290996481484.0,34436905457.0,155975426454.0,7530894984.0,-42539121945.0,4777139587722.0
"Khẩu hao tài sản cố định hữu hình, tài sản thuê tài chính và bất động sản đầu tư","Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Khẩu hao tài sản cố định hữu hình, tài sản thuê tài chính và bất động sản đầu tư","Khẩu hao tài sản cố định hữu hình, tài sản thuê tài chính và bất động sản đầu tư",(1.126.674.740.987),(111.468.953.189),(20.680.938.255),(802.108.154),(5.839.205.480),(7.083.951.723),(1.272.549.897.788),-1126674740987.0,-111468953189.0,-20680938255.0,-802108154.0,-5839205480.0,-7083951723.0,-1272549897788.0
Khẩu hao tài sản cố định vô hình,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Khẩu hao tài sản cố định vô hình,Khẩu hao tài sản cố định vô hình,(1.791.927.870),(2.769.560.368),-,-,(314.023.524),309.613.068,(4.565.898.694),-1791927870.0,-2769560368.0,,,-314023524.0,309613068.0,-4565898694.0
Phân bổ chi phí trả trước dài hạn,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Phân bổ chi phí trả trước dài hạn,Phân bổ chi phí trả trước dài hạn,(207.609.914.032),(23.804.469.783),(169.741.013),(1.284.900.900),(6.194.124.814),517.659.929,(238.545.490.613),-207609914032.0,-23804469783.0,-169741013.0,-1284900900.0,-6194124814.0,517659929.0,-238545490613.0
