row_label_raw,row_label_full,col_0,Giá trị ghi số tại thời điểm mất quyền kiểm soát,Giá trị ghi số tại thời điểm mất quyền kiểm soát_1,Giá trị ghi số tại thời điểm mất quyền kiểm soát_2,numeric__Giá trị ghi số tại thời điểm mất quyền kiểm soát,numeric__Giá trị ghi số tại thời điểm mất quyền kiểm soát_1,numeric__Giá trị ghi số tại thời điểm mất quyền kiểm soát_2
,,,Công ty CPKhoáng sảnHòa YênVND,Công ty CPKhoáng sảnĐức LongVND,Tổng cộngVND,,,
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.325.304.341,1.538.769.542,2.864.073.883,1325304341.0,1538769542.0,2864073883.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,27.361.199.345,38.756.223.592,66.117.422.937,27361199345.0,38756223592.0,66117422937.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,-,1.131.504,1.131.504,,1131504.0,1131504.0
Tải sản cổ định,Tải sản cổ định,Tải sản cổ định,33.726.837,-,33.726.837,33726837.0,,33726837.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,(1.789.292.026),(1.720.584.205),(3.509.876.231),-1789292026.0,-1720584205.0,-3509876231.0
Tải sản và nợ phải trả thuần có thể xác định được,Tải sản và nợ phải trả thuần có thể xác định được,Tải sản và nợ phải trả thuần có thể xác định được,26.930.938.497,38.575.540.433,65.506.478.930,26930938497.0,38575540433.0,65506478930.0
Ghi giảm lợi ích cổ đông không kiểm soát,Ghi giảm lợi ích cổ đông không kiểm soát,Ghi giảm lợi ích cổ đông không kiểm soát,(63.119.387),(9.643.885),(72.763.272),-63119387.0,-9643885.0,-72763272.0
Phần tải sản thuần thuộc Tập đoàn tại ngày mất quyền kiểm soát,Phần tải sản thuần thuộc Tập đoàn tại ngày mất quyền kiểm soát,Phần tải sản thuần thuộc Tập đoàn tại ngày mất quyền kiểm soát,26.867.819.110,38.565.896.548,65.433.715.658,26867819110.0,38565896548.0,65433715658.0
Giá thanh lý,Giá thanh lý,Giá thanh lý,26.867.819.110,38.565.896.548,65.433.715.658,26867819110.0,38565896548.0,65433715658.0
Khoản tiền giảm do mất quyền kiểm soát tại công ty con,Khoản tiền giảm do mất quyền kiểm soát tại công ty con,Khoản tiền giảm do mất quyền kiểm soát tại công ty con,(1.325.304.341),(1.538.769.542),(2.864.073.883),-1325304341.0,-1538769542.0,-2864073883.0
Khoản tiền thuần thu được do mất quyền kiểm soát tại công ty con,Khoản tiền thuần thu được do mất quyền kiểm soát tại công ty con,Khoản tiền thuần thu được do mất quyền kiểm soát tại công ty con,25.542.514.769,37.027.127.006,62.569.641.775,25542514769.0,37027127006.0,62569641775.0
