row_label_raw,row_label_full,col_0,Công cụ và dụng cụ VND,"Chi phí đại tu, sửa chữa lớn VND",Chi phí đất trả trước VND,Chi phí giải phóng mặt bằng VND,Chi phí trả trước khác VND,Tổng cộng VND,numeric__Công cụ và dụng cụ VND,"numeric__Chi phí đại tu, sửa chữa lớn VND",numeric__Chi phí đất trả trước VND,numeric__Chi phí giải phóng mặt bằng VND,numeric__Chi phí trả trước khác VND,numeric__Tổng cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,51.510.458.326,223.773.189.559,233.090.784.881,23.536.108.962,19.772.286.952,551.682.828.680,51510458326.0,223773189559.0,233090784881.0,23536108962.0,19772286952.0,551682828680.0
Nhận góp vốn từ cổ đông không kiểm soát vào công ty con,Nhận góp vốn từ cổ đông không kiểm soát vào công ty con,Nhận góp vốn từ cổ đông không kiểm soát vào công ty con,-,-,-,-,79.258.720.820,79.258.720.820,,,,,79258720820.0,79258720820.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,85.946.342.633,13.704.476.184,192.456.619.309,17.666.194.490,24.836.029.964,334.609.662.580,85946342633.0,13704476184.0,192456619309.0,17666194490.0,24836029964.0,334609662580.0
Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,10.440.113.017,1.701.067.475,14.447.400.000,-,1.799.896.598,28.388.477.090,10440113017.0,1701067475.0,14447400000.0,,1799896598.0,28388477090.0
Thanh lý,Thanh lý,Thanh lý,(34.178.858),-,-,-,(8.886.652.996),(8.920.831.854),-34178858.0,,,,-8886652996.0,-8920831854.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(58.608.654.221),(178.056.955.287),(9.889.864.660),(3.093.942.296),(18.995.191.577),(268.644.608.041),-58608654221.0,-178056955287.0,-9889864660.0,-3093942296.0,-18995191577.0,-268644608041.0
Phân loại lại,Phân loại lại,Phân loại lại,(650.200.094),(81.839.257),(1.578.833.446),1.578.833.446,732.039.351,-,-650200094.0,-81839257.0,-1578833446.0,1578833446.0,732039351.0,
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,88.603.880.803,61.039.938.674,428.526.106.084,39.687.194.602,98.517.129.112,716.374.249.275,88603880803.0,61039938674.0,428526106084.0,39687194602.0,98517129112.0,716374249275.0
