row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thép VND,Sản xuất công nghiệp khác VND,Bắt động sản VND,Nông nghiệp VND,Đầu tư tài chính (Công ty mẹ) VND,Loại trừ VND,Hợp nhất VND,numeric__Sản xuất và kinh doanh thép VND,numeric__Sản xuất công nghiệp khác VND,numeric__Bắt động sản VND,numeric__Nông nghiệp VND,numeric__Đầu tư tài chính (Công ty mẹ) VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,,,,,,,
Doanh thu thuần ra bên ngoài,Cho năm kết thúc ngày 31 tháng 12 năm 2016 > Doanh thu thuần ra bên ngoài,Doanh thu thuần ra bên ngoài,28.854.964.753.230,2.597.815.381.257,435.462.940.082,1.394.967.085.418,-,,33.283.210.159.987,28854964753230.0,2597815381257.0,435462940082.0,1394967085418.0,,,33283210159987.0
Doanh thu thuần giữa các bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2016 > Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,19.100.915.399.376,209.040.347.651,246.028.247.605,405.204.094.440,77.559.819.947,(20.038.747.909.019),-,19100915399376.0,209040347651.0,246028247605.0,405204094440.0,77559819947.0,-20038747909019.0,
Tổng doanh thu của bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2016 > Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,47.955.880.152.606,2.806.855.728.908,681.491.187.687,1.800.171.179.858,77.559.819.947,(20.038.747.909.019),33.283.210.159.987,47955880152606.0,2806855728908.0,681491187687.0,1800171179858.0,77559819947.0,-20038747909019.0,33283210159987.0
Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2016 > Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,7.042.595.178.369,502.409.727.619,227.154.567.959,25.685.271.774,5.708.071.814.642,(5.821.238.704.231),7.684.677.856.132,7042595178369.0,502409727619.0,227154567959.0,25685271774.0,5708071814642.0,-5821238704231.0,7684677856132.0
Thu nhập khác,Cho năm kết thúc ngày 31 tháng 12 năm 2016 > Thu nhập khác,Thu nhập khác,417.276.345.429,15.759.541.021,25.675.511.190,4.032.743.092,8.114.457.950,(36.390.229.017),434.468.369.665,417276345429.0,15759541021.0,25675511190.0,4032743092.0,8114457950.0,-36390229017.0,434468369665.0
Chỉ phí khác,Cho năm kết thúc ngày 31 tháng 12 năm 2016 > Chỉ phí khác,Chỉ phí khác,(401.721.089.734),(3.227.536.508),(11.521.809.577),(1.706.275.070),(449.759.140),1.304.197.907,(417.322.272.122),-401721089734.0,-3227536508.0,-11521809577.0,-1706275070.0,-449759140.0,1304197907.0,-417322272122.0
Chỉ phí thuế thu nhập doanh nghiệp hiện hành,Cho năm kết thúc ngày 31 tháng 12 năm 2016 > Chỉ phí thuế thu nhập doanh nghiệp hiện hành,Chỉ phí thuế thu nhập doanh nghiệp hiện hành,(983.744.656.725),(78.187.062.554),(58.020.011.113),(180.377.950),(18.357.879.105),-,(1.138.489.987.447),-983744656725.0,-78187062554.0,-58020011113.0,-180377950.0,-18357879105.0,,-1138489987447.0
Lợi ích(chỉ phí) thuế thu nhập hoãn lại,Cho năm kết thúc ngày 31 tháng 12 năm 2016 > Lợi ích(chỉ phí) thuế thu nhập hoãn lại,Lợi ích(chỉ phí) thuế thu nhập hoãn lại,8.656.003.959,(1.766.232.965),16.948.280.851,1.803.573,-,19.028.905.283,42.868.760.701,8656003959.0,-1766232965.0,16948280851.0,1803573.0,,19028905283.0,42868760701.0
Lợi nhuận thuần sau thuế,Cho năm kết thúc ngày 31 tháng 12 năm 2016 > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,6.083.061.781.298,434.988.436.613,200.236.539.310,27.833.165.419,5.697.378.634.347,(5.837.295.830.058),6.606.202.726.929,6083061781298.0,434988436613.0,200236539310.0,27833165419.0,5697378634347.0,-5837295830058.0,6606202726929.0
