row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thép VND,Sản xuất công nghiệp khác VND,Bất động sản VND,Nông nghiệp VND,Dấu tư tài chính (Công ty mẹ) VND,Loại trừ VND,Hợp nhất VND,numeric__Sản xuất và kinh doanh thép VND,numeric__Sản xuất công nghiệp khác VND,numeric__Bất động sản VND,numeric__Nông nghiệp VND,numeric__Dấu tư tài chính (Công ty mẹ) VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,,,,,,,
Tải sản của bộ phận,Tại ngày 31 tháng 12 năm 2016 > Tải sản của bộ phận,Tải sản của bộ phận,26.751.186.404.211,1.891.283.472.193,2.307.735.728.580,2.747.112.617.052,3.020.037.256.673,(3.494.074.548.567),33.223.280.930.142,26751186404211.0,1891283472193.0,2307735728580.0,2747112617052.0,3020037256673.0,-3494074548567.0,33223280930142.0
Khoản đầu tư vào các công ty con,Tại ngày 31 tháng 12 năm 2016 > Khoản đầu tư vào các công ty con,Khoản đầu tư vào các công ty con,-,-,-,-,11.158.244.026.533,(11.158.244.026.533),-,,,,,11158244026533.0,-11158244026533.0,
Khoản đầu tư vào công ty liên kết,Tại ngày 31 tháng 12 năm 2016 > Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,-,-,-,-,5.730.000.000,(2.458.612.257),3.271.387.743,,,,,5730000000.0,-2458612257.0,3271387743.0
Tổng tải sản,Tại ngày 31 tháng 12 năm 2016 > Tổng tải sản,Tổng tải sản,26.751.186.404.211,1.891.283.472.193,2.307.735.728.580,2.747.112.617.052,14.184.011.283.206,(14.654.777.187.357),33.226.552.317.885,26751186404211.0,1891283472193.0,2307735728580.0,2747112617052.0,14184011283206.0,-14654777187357.0,33226552317885.0
Nợ phải trả của bộ phận,Tại ngày 31 tháng 12 năm 2016 > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,14.311.560.655.203,715.761.060.879,985.915.041.210,551.060.317.625,211.460.052.426,(3.399.465.887.422),13.376.291.239.921,14311560655203.0,715761060879.0,985915041210.0,551060317625.0,211460052426.0,-3399465887422.0,13376291239921.0
Tổng nợ phải trả,Tại ngày 31 tháng 12 năm 2016 > Tổng nợ phải trả,Tổng nợ phải trả,14.311.560.655.203,715.761.060.879,985.915.041.210,551.060.317.625,211.460.052.426,(3.399.465.887.422),13.376.291.239.921,14311560655203.0,715761060879.0,985915041210.0,551060317625.0,211460052426.0,-3399465887422.0,13376291239921.0
Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,,,,,,,
Chỉ tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2016 > Chỉ tiêu vốn,Chỉ tiêu vốn,1.545.117.235.057,117.691.744.811,35.316.820.235,1.245.809.535.542,16.678.240.000,(27.770.342.622),2.932.843.233.023,1545117235057.0,117691744811.0,35316820235.0,1245809535542.0,16678240000.0,-27770342622.0,2932843233023.0
"Khẩu hao tài sản cố định hữu hình, tài sản thuê tài chính và bất động sản đầu tư","Cho năm kết thúc ngày 31 tháng 12 năm 2016 > Khẩu hao tài sản cố định hữu hình, tài sản thuê tài chính và bất động sản đầu tư","Khẩu hao tài sản cố định hữu hình, tài sản thuê tài chính và bất động sản đầu tư",(1.453.868.933.683),(130.228.542.948),(24.795.208.990),(18.612.687.407),(21.347.019.651),9.693.027.616,(1.639.159.365.063),-1453868933683.0,-130228542948.0,-24795208990.0,-18612687407.0,-21347019651.0,9693027616.0,-1639159365063.0
Khẩu hao tài sản cố định vô hình,Cho năm kết thúc ngày 31 tháng 12 năm 2016 > Khẩu hao tài sản cố định vô hình,Khẩu hao tài sản cố định vô hình,(1.845.161.269),(2.210.722.344),-,(111.323.850),(138.406.861),232.321.846,(4.073.292.478),-1845161269.0,-2210722344.0,,-111323850.0,-138406861.0,232321846.0,-4073292478.0
Phân bố chí phí trả trước dài hạn,Cho năm kết thúc ngày 31 tháng 12 năm 2016 > Phân bố chí phí trả trước dài hạn,Phân bố chí phí trả trước dài hạn,(232.226.334.499),(13.765.769.796),(1.972.804.508),(9.879.387.296),(11.480.768.917),680.456.975,(268.644.608.041),-232226334499.0,-13765769796.0,-1972804508.0,-9879387296.0,-11480768917.0,680456975.0,-268644608041.0
