row_label_raw,row_label_full,col_0,Công ty TNHH MTV Chăn nuôi Hòa Phát Hòa Bình VND,Công ty TNHH Chăn nuôi Hòa Phước VND,Tổng cộng VND,numeric__Công ty TNHH MTV Chăn nuôi Hòa Phát Hòa Bình VND,numeric__Công ty TNHH Chăn nuôi Hòa Phước VND,numeric__Tổng cộng VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,4.814.669.434,2.576.002.491,7.390.671.925,4814669434.0,2576002491.0,7390671925.0
Dầu tư tài chính ngắn hạn,Dầu tư tài chính ngắn hạn,Dầu tư tài chính ngắn hạn,15.000.000.000,-,15.000.000.000,15000000000.0,,15000000000.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,-,51.274.309.086,51.274.309.086,,51274309086.0,51274309086.0
Tải sản ngắn hạn khác,Tải sản ngắn hạn khác,Tải sản ngắn hạn khác,2.188.538.136,55.094.600,2.243.632.736,2188538136.0,55094600.0,2243632736.0
Tải sản cổ định,Tải sản cổ định,Tải sản cổ định,-,805.226.190,805.226.190,,805226190.0,805226190.0
Tải sản dở dang dài hạn,Tải sản dở dang dài hạn,Tải sản dở dang dài hạn,182.260.000,1.226.494.512,1.408.754.512,182260000.0,1226494512.0,1408754512.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,(20.598.000),(6.516.086.975),(6.536.684.975),-20598000.0,-6516086975.0,-6536684975.0
Tải sản và nợ phải trả thuần có thể xác định được,Tải sản và nợ phải trả thuần có thể xác định được,Tải sản và nợ phải trả thuần có thể xác định được,22.164.869.570,49.421.039.904,71.585.909.474,22164869570.0,49421039904.0,71585909474.0
Lợi ích của Tập đoàn trong giá trị tài sản thuần của công ty con tại ngày mua,Lợi ích của Tập đoàn trong giá trị tài sản thuần của công ty con tại ngày mua,Lợi ích của Tập đoàn trong giá trị tài sản thuần của công ty con tại ngày mua,22.164.869.570,49.411.155.696,71.576.025.266,22164869570.0,49411155696.0,71576025266.0
Lợi thế thương mại phát sinh từ việc mua công ty con,Lợi thế thương mại phát sinh từ việc mua công ty con,Lợi thế thương mại phát sinh từ việc mua công ty con,4.367.130.430,578.844.304,4.945.974.734,4367130430.0,578844304.0,4945974734.0
Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,26.532.000.000,49.990.000.000,76.522.000.000,26532000000.0,49990000000.0,76522000000.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,(814.669.434),(2.576.002.491),(3.390.671.925),-814669434.0,-2576002491.0,-3390671925.0
Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,25.717.330.566,47.413.997.509,73.131.328.075,25717330566.0,47413997509.0,73131328075.0
