row_label_raw,row_label_full,col_0,1/1/2016VND,Tăng do mua công ty con VND,Số phải nộp trong năm VND,Bù trừ với thuế được khấu trừ/số đã nộp trong năm VND,Giảm do thanh lý công ty con VND,31/12/2016VND,numeric__1/1/2016VND,numeric__Tăng do mua công ty con VND,numeric__Số phải nộp trong năm VND,numeric__Bù trừ với thuế được khấu trừ/số đã nộp trong năm VND,numeric__Giảm do thanh lý công ty con VND,numeric__31/12/2016VND
Thuế giả trị gia tăng,Thuế giả trị gia tăng,Thuế giả trị gia tăng,29.395.378.795,-,4.225.063.037.522,(4.198.615.011.868),(308.448.840),55.534.955.609,29395378795.0,,4225063037522.0,-4198615011868.0,-308448840.0,55534955609.0
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,117.580.416,-,32.096.943.359,(30.303.966.928),-,1.910.556.847,117580416.0,,32096943359.0,-30303966928.0,,1910556847.0
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,892.864.191,-,106.262.632.080,(107.128.936.104),-,26.560.167,892864191.0,,106262632080.0,-107128936104.0,,26560167.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,300.528.703.513,-,1.138.489.987.447,(766.960.269.802),-,672.058.421.158,300528703513.0,,1138489987447.0,-766960269802.0,,672058421158.0
Thuế nhà thầu,Thuế nhà thầu,Thuế nhà thầu,1.426.954.456,-,25.335.339.081,(25.145.743.302),-,1.616.550.235,1426954456.0,,25335339081.0,-25145743302.0,,1616550235.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.192.733.258,20.667.513,51.920.851.341,(50.450.526.670),(2.735.209),2.680.990.233,1192733258.0,20667513.0,51920851341.0,-50450526670.0,-2735209.0,2680990233.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,4.675.648.019,-,86.754.417.796,(85.520.725.499),(115.005.200),5.794.335.116,4675648019.0,,86754417796.0,-85520725499.0,-115005200.0,5794335116.0
Tiền thuê đất,Tiền thuê đất,Tiền thuê đất,57.304.516.484,-,11.146.620.059,(67.845.439.165),-,605.697.378,57304516484.0,,11146620059.0,-67845439165.0,,605697378.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,2.995.720.675,-,38.257.358.573,(36.961.990.534),(96.400.000),4.194.688.714,2995720675.0,,38257358573.0,-36961990534.0,-96400000.0,4194688714.0
,,,398.530.099.807,20.667.513,5.715.327.187.258,(5.368.932.609.872),(522.589.249),744.422.755.457,398530099807.0,20667513.0,5715327187258.0,-5368932609872.0,-522589249.0,744422755457.0
