row_label_raw,row_label_full,col_0,Nhà cửaVND,Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Dụng cụ văn phòngVND,Vật nuôiVND,Tài sảncố định khácVND,Tổng cộngVND,numeric__Nhà cửaVND,numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Dụng cụ văn phòngVND,numeric__Vật nuôiVND,numeric__Tài sảncố định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.961.524.231.496,9.600.099.685.033,461.158.947.117,29.886.932.589,-,2.370.983.862,13.055.040.780.097,2961524231496.0,9600099685033.0,461158947117.0,29886932589.0,,2370983862.0,13055040780097.0
Tăng do mua công ty con,Nguyên giá > Tăng do mua công ty con,Tăng do mua công ty con,-,-,838.500.000,-,-,-,838.500.000,,,838500000.0,,,,838500000.0
Tăng do nhận góp vốn tử cố đôngkhông kiểm soát vào công ty con,Nguyên giá > Tăng do nhận góp vốn tử cố đôngkhông kiểm soát vào công ty con,Tăng do nhận góp vốn tử cố đôngkhông kiểm soát vào công ty con,2.336.701.358,-,-,-,-,-,2.336.701.358,2336701358.0,,,,,,2336701358.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,24.781.946.129,118.976.023.233,89.311.391.494,5.887.608.904,-,-,238.956.969.760,24781946129.0,118976023233.0,89311391494.0,5887608904.0,,,238956969760.0
Chuyên tử xây dựng cơ bản dở dang,Nguyên giá > Chuyên tử xây dựng cơ bản dở dang,Chuyên tử xây dựng cơ bản dở dang,823.558.641.733,4.913.895.602.804,76.897.092.354,1.585.520.914,27.730.285.569,-,5.843.667.143.374,823558641733.0,4913895602804.0,76897092354.0,1585520914.0,27730285569.0,,5843667143374.0
Thanh lý công ty con,Nguyên giá > Thanh lý công ty con,Thanh lý công ty con,(77.275.405.062),(76.428.215.290),(16.117.913.280),-,-,-,(169.821.533.632),-77275405062.0,-76428215290.0,-16117913280.0,,,,-169821533632.0
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(3.703.797.265),(93.163.462.792),(14.107.273.572),(1.666.754.851),-,(298.523.809),(112.939.812.289),-3703797265.0,-93163462792.0,-14107273572.0,-1666754851.0,,-298523809.0,-112939812289.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(1.808.169.609),(3.087.761.228),5.181.672.728,(285.741.891),-,-,-,-1808169609.0,-3087761228.0,5181672728.0,-285741891.0,,,
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(10.400.000),(1.082.333.646),-,-,-,(1.776.541.200),(2.869.274.846),-10400000.0,-1082333646.0,,,,-1776541200.0,-2869274846.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.729.403.748.780,14.459.209.538.114,603.162.416.841,35.407.565.665,27.730.285.569,295.918.853,18.855.209.473.822,3729403748780.0,14459209538114.0,603162416841.0,35407565665.0,27730285569.0,295918853.0,18855209473822.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,933.179.565.406,3.852.183.593.364,201.193.043.927,20.223.515.081,-,790.953.286,5.007.570.671.064,933179565406.0,3852183593364.0,201193043927.0,20223515081.0,,790953286.0,5007570671064.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,245.870.488.310,1.314.189.062.198,63.840.496.940,4.283.681.455,440.770.542,100.254.763,1.628.724.754.208,245870488310.0,1314189062198.0,63840496940.0,4283681455.0,440770542.0,100254763.0,1628724754208.0
Tăng do mua công ty con,Giá trị hao mòn lũy kế > Tăng do mua công ty con,Tăng do mua công ty con,-,-,33.273.810,-,-,-,33.273.810,,,33273810.0,,,,33273810.0
Thanh lý công ty con,Giá trị hao mòn lũy kế > Thanh lý công ty con,Thanh lý công ty con,(77.275.405.062),(76.394.488.453),(16.117.913.280),-,-,-,(169.787.806.795),-77275405062.0,-76394488453.0,-16117913280.0,,,,-169787806795.0
Thanh lý và xóa số,Giá trị hao mòn lũy kế > Thanh lý và xóa số,Thanh lý và xóa số,(2.339.373.608),(81.914.046.926),(12.080.832.510),(1.268.385.589),-,(298.523.809),(97.901.162.442),-2339373608.0,-81914046926.0,-12080832510.0,-1268385589.0,,-298523809.0,-97901162442.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,2.076.300.653,(2.942.119.927),865.819.274,-,-,-,-,2076300653.0,-2942119927.0,865819274.0,,,,
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,-,(944.680.259),-,-,-,(296.765.387),(1.241.445.646),,-944680259.0,,,,-296765387.0,-1241445646.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.101.511.575.699,5.004.177.319.997,237.733.888.161,23.238.810.947,440.770.542,295.918.853,6.367.398.284.199,1101511575699.0,5004177319997.0,237733888161.0,23238810947.0,440770542.0,295918853.0,6367398284199.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.028.344.666.090,5.747.916.091.669,259.965.903.190,9.663.417.508,-,1.580.030.576,8.047.470.109.033,2028344666090.0,5747916091669.0,259965903190.0,9663417508.0,,1580030576.0,8047470109033.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.627.892.173.081,9.455.032.218.117,365.428.528.680,12.168.754.718,27.289.515.027,-,12.487.811.189.623,2627892173081.0,9455032218117.0,365428528680.0,12168754718.0,27289515027.0,,12487811189623.0
