row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2015,Số dư tại ngày 1/1/2015,Số dư tại ngày 1/1/2015,4.819.081.750.000,2.207.350.817.068,-,674.783.632.921,4.094.767.826.367,169.355.717.253,11.965.339.743.609,4819081750000.0,2207350817068.0,,674783632921.0,4094767826367.0,169355717253.0,11965339743609.0
Gộp vốn,Gộp vốn,Gộp vốn,-,-,-,-,-,58.500.000,58.500.000,,,,,,58500000.0,58500000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,3.485.462.964.249,18.919.523.530,3.504.382.487.779,,,,,3485462964249.0,18919523530.0,3504382487779.0
Phát hành cổ phiếu từ thăng dư vốn cổ phần,Phát hành cổ phiếu từ thăng dư vốn cổ phần,Phát hành cổ phiếu từ thăng dư vốn cổ phần,1.465.851.380.000,(1.465.851.380.000),-,-,-,-,-,1465851380000.0,-1465851380000.0,,,,,
Phát hành cổ phiếu thường cho người lao động,Phát hành cổ phiếu thường cho người lao động,Phát hành cổ phiếu thường cho người lao động,67.350.000.000,(67.350.000.000),-,-,-,-,-,67350000000.0,-67350000000.0,,,,,
Trả cổ tức bằng cổ phiếu (Thuyết minh 25),Trả cổ tức bằng cổ phiếu (Thuyết minh 25),Trả cổ tức bằng cổ phiếu (Thuyết minh 25),977.231.060.000,-,-,-,(977.231.060.000),-,-,977231060000.0,,,,-977231060000.0,,
Trả cổ tức (Thuyết minh 25),Trả cổ tức (Thuyết minh 25),Trả cổ tức (Thuyết minh 25),-,-,-,-,(488.625.075.000),(52.129.190.633),(540.754.265.633),,,,,-488625075000.0,-52129190633.0,-540754265633.0
Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ,Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ,Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ,-,-,(638.500.000),-,638.500.000,-,-,,,-638500000.0,,638500000.0,,
Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,-,-,-,216.652.458.918,(216.652.458.918),-,-,,,,216652458918.0,-216652458918.0,,
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,(260.167.975.341),-,(260.167.975.341),,,,,-260167975341.0,,-260167975341.0
Thủ lao thành viên Ban Kiểm soát Chênh lệch phát sinh từ việc mua thêm cổ phần của công ty con Biến động khác,Thủ lao thành viên Ban Kiểm soát Chênh lệch phát sinh từ việc mua thêm cổ phần của công ty con Biến động khác,Thủ lao thành viên Ban Kiểm soát Chênh lệch phát sinh từ việc mua thêm cổ phần của công ty con Biến động khác,-,-,-,-,(100.000.000),-,(100.000.000),,,,,-100000000.0,,-100000000.0
Thủ lao thành viên Ban Kiểm soát Chênh lệch phát sinh từ việc mua thêm cổ phần của công ty con Biến động khác,Thủ lao thành viên Ban Kiểm soát Chênh lệch phát sinh từ việc mua thêm cổ phần của công ty con Biến động khác,Thủ lao thành viên Ban Kiểm soát Chênh lệch phát sinh từ việc mua thêm cổ phần của công ty con Biến động khác,-,-,-,-,(117.247.358.223),(113.381.430.777),(230.628.789.000),,,,,-117247358223.0,-113381430777.0,-230628789000.0
Thủ lao thành viên Ban Kiểm soát Chênh lệch phát sinh từ việc mua thêm cổ phần của công ty con Biến động khác,Thủ lao thành viên Ban Kiểm soát Chênh lệch phát sinh từ việc mua thêm cổ phần của công ty con Biến động khác,Thủ lao thành viên Ban Kiểm soát Chênh lệch phát sinh từ việc mua thêm cổ phần của công ty con Biến động khác,-,-,-,-,28.486.992.968,93.690.928,28.580.683.896,,,,,28486992968.0,93690928.0,28580683896.0
Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,7.329.514.190.000,674.149.437.068,(638.500.000),891.436.091.839,5.549.332.356.102,22.916.810.301,14.466.710.385.310,7329514190000.0,674149437068.0,-638500000.0,891436091839.0,5549332356102.0,22916810301.0,14466710385310.0
