row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,,,,
Abu Dhabi National Oil Company,Abu Dhabi National Oil Company,Abu Dhabi National Oil Company,432.776.348.000,432.776.348.000,453.970.562.375,453.970.562.375,432776348000.0,432776348000.0,453970562375.0,453970562375.0
Liên doanh Việt - Nga VietsovPetro,Liên doanh Việt - Nga VietsovPetro,Liên doanh Việt - Nga VietsovPetro,200.952.930.031,200.952.930.031,172.169.591.633,172.169.591.633,200952930031.0,200952930031.0,172169591633.0,172169591633.0
Cơ quan Tập đoàn Dầu khí Việt Nam,Cơ quan Tập đoàn Dầu khí Việt Nam,Cơ quan Tập đoàn Dầu khí Việt Nam,184.117.736.588,184.117.736.588,92.293.519.979,92.293.519.979,184117736588.0,184117736588.0,92293519979.0,92293519979.0
Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,175.912.959.380,175.912.959.380,108.093.930.612,108.093.930.612,175912959380.0,175912959380.0,108093930612.0,108093930612.0
Công ty Cổ phần Lộc hóa dâu Bình Sơn,Công ty Cổ phần Lộc hóa dâu Bình Sơn,Công ty Cổ phần Lộc hóa dâu Bình Sơn,124.359.870.506,124.359.870.506,464.717.487.091,464.717.487.091,124359870506.0,124359870506.0,464717487091.0,464717487091.0
"Petredec International Pte., Ltd.","Petredec International Pte., Ltd.","Petredec International Pte., Ltd.",92.520.346.999,92.520.346.999,183.416.461.318,183.416.461.318,92520346999.0,92520346999.0,183416461318.0,183416461318.0
E1 Corporation,E1 Corporation,E1 Corporation,52.716.593.975,52.716.593.975,62.257.355.388,62.257.355.388,52716593975.0,52716593975.0,62257355388.0,62257355388.0
Trafigura Pte Ltd.,Trafigura Pte Ltd.,Trafigura Pte Ltd.,-,-,464.518.162.476,464.518.162.476,,,464518162476.0,464518162476.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,650.536.173.255,650.536.173.255,662.407.314.336,662.407.314.336,650536173255.0,650536173255.0,662407314336.0,662407314336.0
,,,1.913.892.958.734,1.913.892.958.734,2.663.844.385.208,2.663.844.385.208,1913892958734.0,1913892958734.0,2663844385208.0,2663844385208.0
Phải trả người bán ngắn hạn là các bên liên quan (chi tiết trình bày tại Thuyết minh số 39),Phải trả người bán ngắn hạn là các bên liên quan (chi tiết trình bày tại Thuyết minh số 39),Phải trả người bán ngắn hạn là các bên liên quan (chi tiết trình bày tại Thuyết minh số 39),786.707.163.849,786.707.163.849,934.860.763.797,934.860.763.797,786707163849.0,786707163849.0,934860763797.0,934860763797.0
