row_label_raw,row_label_full,Chỉ tiêu,Số đầu năm,Phát sinh trong năm > Số phải nộp/phải thu,Phát sinh trong năm > Số đã nộp/đã thu,Phát sinh trong năm > Giảm do không còn nằm giữ quyền kiểm soát tại công ty con,Số cuối năm,numeric__Số đầu năm,numeric__Phát sinh trong năm > Số phải nộp/phải thu,numeric__Phát sinh trong năm > Số đã nộp/đã thu,numeric__Phát sinh trong năm > Giảm do không còn nằm giữ quyền kiểm soát tại công ty con,numeric__Số cuối năm
,,,VND,VND,VND,VND,VND,,,,,
Thuế giả trị gia tăng,Thuế giả trị gia tăng,Thuế giả trị gia tăng,75.002.555.765,2.351.559.542.729,2.302.147.509.338,5.647.328.975,118.767.260.181,75002555765.0,2351559542729.0,2302147509338.0,5647328975.0,118767260181.0
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,(18.158.342.152),311.452.961.964,320.118.777.140,-,(26.824.157.328),-18158342152.0,311452961964.0,320118777140.0,,-26824157328.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,626.742.406.764,2.959.580.366.944,2.853.005.601.343,2.475.031.065,730.842.141.300,626742406764.0,2959580366944.0,2853005601343.0,2475031065.0,730842141300.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",-,23.318.984.702,23.377.476.990,(49.506.870),(8.985.418),,23318984702.0,23377476990.0,-49506870.0,-8985418.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,13.496.636.056,99.048.553.341,92.980.385.980,(233.461.956),19.798.265.373,13496636056.0,99048553341.0,92980385980.0,-233461956.0,19798265373.0
Thuế môn bài,Thuế môn bài,Thuế môn bài,-,519.000.000,519.000.000,-,-,,519000000.0,519000000.0,,
"Thuế và các khoản phí, lệ phí khác","Thuế và các khoản phí, lệ phí khác","Thuế và các khoản phí, lệ phí khác",4.131.711.449,23.063.169.205,28.409.201.615,(1.464.860.746),250.539.785,4131711449.0,23063169205.0,28409201615.0,-1464860746.0,250539785.0
Cộng,Cộng,Cộng,701.214.967.882,5.768.542.578.885,5.620.557.952.406,6.374.530.468,842.825.063.893,701214967882.0,5768542578885.0,5620557952406.0,6374530468.0,842825063893.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Thuế và các khoản khác phải thu Nhà nước,Trong đó: > Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,58.485.563.015,,,,34.040.110.035,58485563015.0,,,,34040110035.0
Thuế và các khoản khác phải nộp Nhà nước,Trong đó: > Thuế và các khoản khác phải nộp Nhà nước,Thuế và các khoản khác phải nộp Nhà nước,759.700.530.897,,,,876.865.173.928,759700530897.0,,,,876865173928.0
