row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,12.564.256.032.003,15.747.295.132.679,,300.0,,12564256032003.0,15747295132679.0
I.,I.,I.,Nợ ngắn hạn,310,,9.964.436.306.143,11.846.614.031.313,,310.0,,9964436306143.0,11846614031313.0
I.,I.,I.,1. Phải trả người bán ngắn hạn,311,18,1.913.892.958.734,2.663.844.385.208,,311.0,18.0,1913892958734.0,2663844385208.0
I.,I.,I.,2. Người mua trả tiền trước ngắn hạn,312,,202.837.473.408,237.513.454.863,,312.0,,202837473408.0,237513454863.0
I.,I.,I.,3. Thuế và các khoản phải nộp Nhà nước,313,19,876.865.173.928,759.700.530.897,,313.0,19.0,876865173928.0,759700530897.0
I.,I.,I.,4. Phải trả người lao động,314,,118.098.347.249,188.077.461.797,,314.0,,118098347249.0,188077461797.0
I.,I.,I.,5. Chi phí phải trả ngắn hạn,315,20,4.047.844.728.329,5.488.545.648.029,,315.0,20.0,4047844728329.0,5488545648029.0
I.,I.,I.,6. Doanh thu chưa thực hiện ngắn hạn,318,,936.607.573,1.481.038.533,,318.0,,936607573.0,1481038533.0
I.,I.,I.,7. Phải trả ngắn hạn khác,319,21,1.029.191.512.264,658.389.914.253,,319.0,21.0,1029191512264.0,658389914253.0
I.,I.,I.,8. Vay và nợ thuê tài chính ngắn hạn,320,22,1.340.567.850.126,1.489.867.272.234,,320.0,22.0,1340567850126.0,1489867272234.0
I.,I.,I.,9. Dự phòng phải trả ngắn hạn,321,,9.050.349.783,-,,321.0,,9050349783.0,
I.,I.,I.,"10. Quỹ khen thưởng, phúc lợi",322,,425.151.304.749,359.194.325.499,,322.0,,425151304749.0,359194325499.0
II.,II.,II.,Nợ dài hạn,330,,2.599.819.725.860,3.900.681.101.366,,330.0,,2599819725860.0,3900681101366.0
II.,II.,II.,1. Doanh thu chưa thực hiện dài hạn,336,,22.464.760.780,23.328.790.844,,336.0,,22464760780.0,23328790844.0
II.,II.,II.,2. Phải trả dài hạn khác,337,21,86.941.807.721,247.137.862.278,,337.0,21.0,86941807721.0,247137862278.0
II.,II.,II.,3. Vay và nợ thuê tài chính dài hạn,338,22,1.455.930.000.000,3.395.742.808.039,,338.0,22.0,1455930000000.0,3395742808039.0
II.,II.,II.,4. Thuế thu nhập hoãn lại phải trả,341,24,182.000.454.368,168.503.666.569,,341.0,24.0,182000454368.0,168503666569.0
II.,II.,II.,5. Dự phòng phải trả dài hạn,342,23,836.651.603.962,45.337.438.542,,342.0,23.0,836651603962.0,45337438542.0
II.,II.,II.,6. Quỹ phát triển khoa học và công nghệ,343,,15.831.099.029,20.630.535.094,,343.0,,15831099029.0,20630535094.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,49.614.531.357.631,46.867.125.112.614,,400.0,,49614531357631.0,46867125112614.0
I.,I.,I.,Vốn chủ sở hữu,410,25,49.614.531.357.631,46.867.125.112.614,,410.0,25.0,49614531357631.0,46867125112614.0
I.,I.,I.,1. Vốn góp của chủ sở hữu,411,,19.139.500.000.000,19.139.500.000.000,,411.0,,19139500000000.0,19139500000000.0
I.,I.,I.,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,19.139.500.000.000,19.139.500.000.000,,,,19139500000000.0,19139500000000.0
I.,I.,I.,2. Thắng dư vốn cổ phần,412,,210.679.541.297,210.679.541.297,,412.0,,210679541297.0,210679541297.0
I.,I.,I.,3. Vốn khác của chủ sở hữu,414,,196.658.562.648,255.319.038.873,,414.0,,196658562648.0,255319038873.0
I.,I.,I.,4. Quỹ đầu tư phát triển,418,,18.844.379.948.876,14.862.130.022.329,,418.0,,18844379948876.0,14862130022329.0
I.,I.,I.,5. Quỹ khác thuộc vốn chủ sở hữu,420,,6.287.318.113,6.287.318.113,,420.0,,6287318113.0,6287318113.0
I.,I.,I.,6. Lợi nhuận sau thuế chưa phân phối,421,,10.109.461.187.456,10.598.838.456.543,,421.0,,10109461187456.0,10598838456543.0
I.,I.,I.,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối nằm trước,421a,,59.908.671.304,3.110.217.713.815,,,,59908671304.0,3110217713815.0
I.,I.,I.,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,10.049.552.516.152,7.488.620.742.728,,,,10049552516152.0,7488620742728.0
I.,I.,I.,7. Lợi ích cổ đông không kiểm soát,429,,1.107.564.799.241,1.794.370.735.459,,429.0,,1107564799241.0,1794370735459.0
TỔNG CÔNG NGUỒN VỐN (440=300+400),TỔNG CÔNG NGUỒN VỐN (440=300+400),TỔNG CÔNG NGUỒN VỐN (440=300+400),TỔNG CÔNG NGUỒN VỐN (440=300+400),440,,62.178.787.389.634,62.614.420.245.293,,440.0,,62178787389634.0,62614420245293.0
