row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Phát sinh trong năm > Giải ngân,Phát sinh trong năm > Chênh lệch tỷ giá,Phát sinh trong năm > Trả gốc,Phát sinh trong năm > Giảm do không còn nằm giữ quyền kiểm soát tại công ty con,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Phát sinh trong năm > Giải ngân,numeric__Phát sinh trong năm > Chênh lệch tỷ giá,numeric__Phát sinh trong năm > Trả gốc,numeric__Phát sinh trong năm > Giảm do không còn nằm giữ quyền kiểm soát tại công ty con,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,435.936.258.565,435.936.258.565,2.344.153.043.210,-,(2.347.238.207.393),(126.000.000.000),306.851.094.382,306.851.094.382,435936258565.0,435936258565.0,2344153043210.0,,-2347238207393.0,-126000000000.0,306851094382.0,306851094382.0
Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,435.936.258.565,435.936.258.565,2.344.153.043.210,,(2.347.238.207.393),(126.000.000.000),306.851.094.382,306.851.094.382,435936258565.0,435936258565.0,2344153043210.0,,-2347238207393.0,-126000000000.0,306851094382.0,306851094382.0
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,4.449.673.821.708,4.449.673.821.708,-,(976.500.000),(1.955.046.218.438),(4.004.347.526),2.489.646.755.744,2.489.646.755.744,4449673821708.0,4449673821708.0,,-976500000.0,-1955046218438.0,-4004347526.0,2489646755744.0,2489646755744.0
Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,4.437.769.588.489,4.437.769.588.489,-,(976.500.000),(1.947.146.332.745),-,2.489.646.755.744,2.489.646.755.744,4437769588489.0,4437769588489.0,,-976500000.0,-1947146332745.0,,2489646755744.0,2489646755744.0
Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,11.904.233.219,11.904.233.219,-,-,(7.899.885.693),(4.004.347.526),-,-,11904233219.0,11904233219.0,,,-7899885693.0,-4004347526.0,,
Cộng,Cộng,Cộng,4.885.610.080.273,4.885.610.080.273,2.344.153.043.210,(976.500.000),(4.302.284.425.831),(130.004.347.526),2.796.497.850.126,2.796.497.850.126,4885610080273.0,4885610080273.0,2344153043210.0,-976500000.0,-4302284425831.0,-130004347526.0,2796497850126.0,2796497850126.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,,,
Số phải trả trong vòng 12 tháng,Trong đó: > Số phải trả trong vòng 12 tháng,Số phải trả trong vòng 12 tháng,1.489.867.272.234,,,,,,1.340.567.850.126,,1489867272234.0,,,,,,1340567850126.0,
Số phải trả sau 12 tháng,Trong đó: > Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,3.395.742.808.039,,,,,,1.455.930.000.000,,3395742808039.0,,,,,,1455930000000.0,
