row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyet minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyet minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGÂN HẠN,100,,41.815.396.772.232,40.932.012.643.396,,100.0,,41815396772232.0,40932012643396.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,4.475.889.167.227,6.705.645.460.007,,110.0,4.0,4475889167227.0,6705645460007.0
I.,I.,I.,1. Tiền,111,,1.151.995.985.522,1.330.220.087.809,,111.0,,1151995985522.0,1330220087809.0
I.,I.,I.,2. Các khoản tương đương tiền,112,,3.323.893.181.705,5.375.425.372.198,,112.0,,3323893181705.0,5375425372198.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,24.915.000.000.000,21.602.454.000.000,,120.0,5.0,24915000000000.0,21602454000000.0
II.,II.,II.,1. Đầu tư nằm giữ đến ngày đáo hạn,123,,24.915.000.000.000,21.602.454.000.000,,123.0,,24915000000000.0,21602454000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,10.358.798.068.406,10.213.710.624.435,,130.0,,10358798068406.0,10213710624435.0
III.,III.,III.,1. Phải thu ngắn hạn của khách hàng,131,6,4.683.939.543.842,4.638.181.584.290,,131.0,6.0,4683939543842.0,4638181584290.0
III.,III.,III.,2. Trà trước cho người bán ngắn hạn,132,7,844.110.099.287,91.011.400.518,,132.0,7.0,844110099287.0,91011400518.0
III.,III.,III.,3. Phải thu ngắn hạn khác,136,8,5.142.871.041.447,5.773.843.457.749,,136.0,8.0,5142871041447.0,5773843457749.0
III.,III.,III.,4. Dự phòng phải thu ngắn hạn khó đòi,137,9,(312.832.668.282),(290.002.813.032),,137.0,9.0,-312832668282.0,-290002813032.0
III.,III.,III.,5. Tài sản thiếu chờ xử lý,139,,710.052.112,676.994.910,,139.0,,710052112.0,676994910.0
IV.,IV.,IV.,Hàng tôn kho,140,10,1.574.702.523.108,1.948.260.051.377,,140.0,10.0,1574702523108.0,1948260051377.0
IV.,IV.,IV.,1. Hàng tôn kho,141,,1.645.289.410.396,2.018.155.350.298,,141.0,,1645289410396.0,2018155350298.0
IV.,IV.,IV.,2. Dự phòng giảm giá hàng tôn kho,149,,(70.586.887.288),(69.895.298.921),,149.0,,-70586887288.0,-69895298921.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,491.007.013.491,461.942.507.577,,150.0,,491007013491.0,461942507577.0
V.,V.,V.,1. Chi phí trả trước ngắn hạn,151,11,89.084.285.844,103.518.806.266,,151.0,11.0,89084285844.0,103518806266.0
V.,V.,V.,2. Thuế giá trị gia tăng được khấu trừ,152,,367.882.617.612,299.938.138.296,,152.0,,367882617612.0,299938138296.0
V.,V.,V.,3. Thuế và các khoản khác phải thu Nhà nước,153,19,34.040.110.035,58.485.563.015,,153.0,19.0,34040110035.0,58485563015.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,20.363.390.617.402,21.682.407.601.897,,200.0,,20363390617402.0,21682407601897.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,127.884.370.801,216.829.039.491,,210.0,,127884370801.0,216829039491.0
I.,I.,I.,1. Trà trước cho người bán dài hạn,212,7,79.220.337.859,67.561.613.929,,212.0,7.0,79220337859.0,67561613929.0
I.,I.,I.,2. Phải thu dài hạn khác,216,8,48.664.032.942,149.267.425.562,,216.0,8.0,48664032942.0,149267425562.0
II.,II.,II.,Tài sản cố định,220,,15.849.872.770.378,18.609.210.697.766,,220.0,,15849872770378.0,18609210697766.0
II.,II.,II.,1. Tài sản cố định hữu hình,221,12,15.437.766.089.565,18.149.000.448.519,,221.0,12.0,15437766089565.0,18149000448519.0
II.,II.,II.,- Nguyên giá,222,,48.513.599.270.479,50.029.678.362.842,,222.0,,48513599270479.0,50029678362842.0
II.,II.,II.,- Giá trị hao mòn lũy kế,223,,(33.075.833.180.914),(31.880.677.914.323),,223.0,,-33075833180914.0,-31880677914323.0
II.,II.,II.,2. Tài sản cố định thuê tài chính,224,,-,20.023.931.745,,224.0,,,20023931745.0
II.,II.,II.,- Nguyên giá,225,,-,49.178.501.219,,225.0,,,49178501219.0
II.,II.,II.,- Giá trị hao mòn lũy kế,226,,-,(29.154.569.474),,226.0,,,-29154569474.0
II.,II.,II.,3. Tài sản cố định vô hình,227,13,412.106.680.813,440.186.317.502,,227.0,13.0,412106680813.0,440186317502.0
II.,II.,II.,- Nguyên giá,228,,539.724.659.083,550.726.305.369,,228.0,,539724659083.0,550726305369.0
II.,II.,II.,- Giá trị hao mòn lũy kế,229,,(127.617.978.270),(110.539.987.867),,229.0,,-127617978270.0,-110539987867.0
III.,III.,III.,Bất động sản đầu tư,230,,23.186.576.974,24.014.662.414,,230.0,,23186576974.0,24014662414.0
III.,III.,III.,- Nguyên giá,231,,26.427.782.233,26.427.782.233,,231.0,,26427782233.0,26427782233.0
III.,III.,III.,- Giá trị hao mòn lũy kế,232,,(3.241.205.259),(2.413.119.819),,232.0,,-3241205259.0,-2413119819.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,,3.020.872.112.628,1.235.198.326.718,,240.0,,3020872112628.0,1235198326718.0
IV.,IV.,IV.,1. Chi phí xây dựng cơ bản dở dang,242,14,3.020.872.112.628,1.235.198.326.718,,242.0,14.0,3020872112628.0,1235198326718.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,5,404.693.951.815,63.019.500.678,,250.0,5.0,404693951815.0,63019500678.0
V.,V.,V.,"1. Đầu tư vào công ty liên doanh, liên kết",252,,394.693.951.815,53.019.500.678,,252.0,,394693951815.0,53019500678.0
V.,V.,V.,2. Đầu tư góp vốn vào đơn vị khác,253,,35.000.000.000,85.000.000.000,,253.0,,35000000000.0,85000000000.0
V.,V.,V.,3. Dự phòng đầu tư tài chính dài hạn,254,,(25.000.000.000),(75.000.000.000),,254.0,,-25000000000.0,-75000000000.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,936.880.834.806,1.534.135.374.830,,260.0,,936880834806.0,1534135374830.0
VI.,VI.,VI.,1. Chi phí trả trước dài hạn,261,11,823.187.362.762,1.324.485.607.020,,261.0,11.0,823187362762.0,1324485607020.0
VI.,VI.,VI.,2. Tài sản thuê thu nhập hoãn lại,262,15,30.489.957.914,43.975.357.039,,262.0,15.0,30489957914.0,43975357039.0
VI.,VI.,VI.,3. Lợi thể thương mại,269,17,83.203.514.130,165.674.410.771,,269.0,17.0,83203514130.0,165674410771.0
TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),270,,62.178.787.389.634,62.614.420.245.293,,270.0,,62178787389634.0,62614420245293.0
