row_label_raw,row_label_full,col_0,Kinh doanh khí và các sản phẩm khí,Hoạt động phụ trợ kinh doanh khí và các sản phẩm khí,Loại trừ nội bộ và điều chỉnh,Tổng cộng,numeric__Kinh doanh khí và các sản phẩm khí,numeric__Hoạt động phụ trợ kinh doanh khí và các sản phẩm khí,numeric__Loại trừ nội bộ và điều chỉnh,numeric__Tổng cộng
,,,VND,VND,VND,VND,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,
Tổng doanh thu thuần,Doanh thu > Tổng doanh thu thuần,Tổng doanh thu thuần,88.672.251.103.471,214.294.835.856,(13.274.999.699.915),75.611.546.239.412,88672251103471.0,214294835856.0,-13274999699915.0,75611546239412.0
Doanh thu nội bộ,Doanh thu > Doanh thu nội bộ,Doanh thu nội bộ,13.274.999.699.915,-,(13.274.999.699.915),-,13274999699915.0,,-13274999699915.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,75.397.251.403.556,214.294.835.856,-,75.611.546.239.412,75397251403556.0,214294835856.0,,75611546239412.0
Chi phí kinh doanh,Doanh thu > Chi phí kinh doanh,Chi phí kinh doanh,74.911.042.911.021,314.639.608.624,(13.338.843.688.777),61.886.838.830.868,74911042911021.0,314639608624.0,-13338843688777.0,61886838830868.0
- Giá vốn hàng bán,Doanh thu > - Giá vốn hàng bán,- Giá vốn hàng bán,71.095.181.721.661,273.886.795.047,(13.248.840.834.500),58.120.227.682.208,71095181721661.0,273886795047.0,-13248840834500.0,58120227682208.0
- Chi phí bán hàng,Doanh thu > - Chi phí bán hàng,- Chi phí bán hàng,2.702.347.628.860,-,(63.668.245.413),2.638.679.383.447,2702347628860.0,,-63668245413.0,2638679383447.0
- Chi phí quản lý doanh nghiệp,Doanh thu > - Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,1.113.513.560.500,40.752.813.577,(26.334.608.864),1.127.931.765.213,1113513560500.0,40752813577.0,-26334608864.0,1127931765213.0
Kết quả hoạt động kinh doanh,Doanh thu > Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,13.761.208.192.450,(100.344.772.768),63.843.988.862,13.724.707.408.544,13761208192450.0,-100344772768.0,63843988862.0,13724707408544.0
"Phăn (lỗ) trong các công ty liên doanh, liên kết","Doanh thu > Phăn (lỗ) trong các công ty liên doanh, liên kết","Phăn (lỗ) trong các công ty liên doanh, liên kết","Phăn (lỗ) trong các công ty liên doanh, liên kết","Phăn (lỗ) trong các công ty liên doanh, liên kết","Phăn (lỗ) trong các công ty liên doanh, liên kết",(3.573.202.455),,,,-3573202455.0
Doanh thu hoạt động tài chính,Doanh thu > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,1.476.548.445.639,,,,1476548445639.0
Chi phí tài chính,Doanh thu > Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,616.615.024.877,,,,616615024877.0
(Lỗ) khác,Doanh thu > (Lỗ) khác,(Lỗ) khác,(Lỗ) khác,(Lỗ) khác,(Lỗ) khác,(41.145.695.966),,,,-41145695966.0
Lợi nhuận trước thuế thu nhập doanh nghiệp,Doanh thu > Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,14.539.921.930.885,,,,14539921930885.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Doanh thu > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,2.778.439.374.778,,,,2778439374778.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Doanh thu > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52.917.076.131,,,,52917076131.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Doanh thu > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,11.708.565.479.976,,,,11708565479976.0
