row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiện vận tảivà thiết bị truyền dẫn,Thiết bịvăn phòng,Tài sảncổ định khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiện vận tảivà thiết bị truyền dẫn,numeric__Thiết bịvăn phòng,numeric__Tài sảncổ định khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,8.155.101.295.107,10.046.374.727.935,860.372.439.674,344.187.936.837,30.623.641.963.289,50.029.678.362.842,8155101295107.0,10046374727935.0,860372439674.0,344187936837.0,30623641963289.0,50029678362842.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,23.570.236.751,64.542.929.589,19.266.462.887,-,169.594.184.573,276.973.813.800,23570236751.0,64542929589.0,19266462887.0,,169594184573.0,276973813800.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,2.206.655.635,60.263.162.205,8.489.393.981,44.161.095.582,5.017.200.840,120.137.508.243,2206655635.0,60263162205.0,8489393981.0,44161095582.0,5017200840.0,120137508243.0
Giảm do không còn nằm giữ quyền kiểm soát tại Công ty con,NGUYÊN GIÁ > Giảm do không còn nằm giữ quyền kiểm soát tại Công ty con,Giảm do không còn nằm giữ quyền kiểm soát tại Công ty con,(593.977.759.971),(1.149.027.314.177),(31.332.196.407),(7.896.155.758),(105.849.905.188),(1.888.083.331.501),-593977759971.0,-1149027314177.0,-31332196407.0,-7896155758.0,-105849905188.0,-1888083331501.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.884.495.113),(14.147.940.733),(476.812.818),(17.469.814.396),(269.472.727),(37.248.535.787),-4884495113.0,-14147940733.0,-476812818.0,-17469814396.0,-269472727.0,-37248535787.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,139.873.262.715,(139.615.018.302),713.531.545,(2.025.288.574),1.053.512.616,-,139873262715.0,-139615018302.0,713531545.0,-2025288574.0,1053512616.0,
Tăng/(Giảm) khác,NGUYÊN GIÁ > Tăng/(Giảm) khác,Tăng/(Giảm) khác,12.405.924.305,(325.004.923),-,60.533.500,-,12.141.452.882,12405924305.0,-325004923.0,,60533500.0,,12141452882.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,7.734.295.119.429,8.868.065.541.594,857.032.818.862,361.018.307.191,30.693.187.483.403,48.513.599.270.479,7734295119429.0,8868065541594.0,857032818862.0,361018307191.0,30693187483403.0,48513599270479.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
