row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,1.533.073.306.647,1.144.620.299.446,1533073306647.0,1144620299446.0
Thuế TNDN của Tập đoàn theo thuế suất phổ thông,Thuế TNDN của Tập đoàn theo thuế suất phổ thông,Thuế TNDN của Tập đoàn theo thuế suất phổ thông,306.614.661.329,228.924.059.889,306614661329.0,228924059889.0
Các khoản điều chỉnh,Các khoản điều chỉnh,Các khoản điều chỉnh,,,,
Chi phí lãi vay vượt ngưỡng được khấu trừ,Các khoản điều chỉnh > Chi phí lãi vay vượt ngưỡng được khấu trừ,Chi phí lãi vay vượt ngưỡng được khấu trừ,36.453.977.734,7.311.738.826,36453977734.0,7311738826.0
Chi phí không được khấu trừ khác,Các khoản điều chỉnh > Chi phí không được khấu trừ khác,Chi phí không được khấu trừ khác,14.224.209.422,16.661.091.377,14224209422.0,16661091377.0
Tài sản thuế TNDN hoãn lại chưa ghi nhận đối với lỗ tính thuế,Các khoản điều chỉnh > Tài sản thuế TNDN hoãn lại chưa ghi nhận đối với lỗ tính thuế,Tài sản thuế TNDN hoãn lại chưa ghi nhận đối với lỗ tính thuế,1.657.944.084,20.040.208.788,1657944084.0,20040208788.0
Điều chỉnh hợp nhất không chịu thuế,Các khoản điều chỉnh > Điều chỉnh hợp nhất không chịu thuế,Điều chỉnh hợp nhất không chịu thuế,(28.501.020.653),(22.336.922.829),-28501020653.0,-22336922829.0
Điều chỉnh chi phí thuế TNDN trích (thừa)/thiếu trong những năm trước theo quyết định thanh tra thuế,Các khoản điều chỉnh > Điều chỉnh chi phí thuế TNDN trích (thừa)/thiếu trong những năm trước theo quyết định thanh tra thuế,Điều chỉnh chi phí thuế TNDN trích (thừa)/thiếu trong những năm trước theo quyết định thanh tra thuế,(6.620.358.858),2.256.361.134,-6620358858.0,2256361134.0
"Cố tức, lợi nhuận được chia","Các khoản điều chỉnh > Cố tức, lợi nhuận được chia","Cố tức, lợi nhuận được chia",(20.091.510.573),(482.094.658),-20091510573.0,-482094658.0
"Thuế TNDN được miễn, giảm","Các khoản điều chỉnh > Thuế TNDN được miễn, giảm","Thuế TNDN được miễn, giảm",(31.570.428.094),(2.348.206.754),-31570428094.0,-2348206754.0
Lỗ năm trước chuyển sang,Các khoản điều chỉnh > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,(22.577.524.967),(11.508.210.742),-22577524967.0,-11508210742.0
Chi phí thuế TNDN,Các khoản điều chỉnh > Chi phí thuế TNDN,Chi phí thuế TNDN,249.589.949.424,238.518.025.031,249589949424.0,238518025031.0
