row_label_raw,row_label_full,col_0,Bàng cản đối kế toán hợp nhất,Bàng cản đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bàng cản đối kế toán hợp nhất,numeric__Bàng cản đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước (Trình bày lại),,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Thu nhập từ bồi thường di đời chưa thực hiện trong công ty liên kết,Tài sản thuế thu nhập hoãn lại > Thu nhập từ bồi thường di đời chưa thực hiện trong công ty liên kết,Thu nhập từ bồi thường di đời chưa thực hiện trong công ty liên kết,7.210.119.673,7.210.119.673,-,-,7210119673.0,7210119673.0,,
Dự phòng hàng tồn kho,Tài sản thuế thu nhập hoãn lại > Dự phòng hàng tồn kho,Dự phòng hàng tồn kho,3.509.594.781,-,3.509.594.781,-,3509594781.0,,3509594781.0,
Khác,Tài sản thuế thu nhập hoãn lại > Khác,Khác,5.208.652.739,4.382.598.484,912.559.379,(2.619.157.013),5208652739.0,4382598484.0,912559379.0,-2619157013.0
,,,15.928.367.193,11.592.718.157,,,15928367193.0,11592718157.0,,
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Chênh lệch đánh giá lại tài sản do hợp nhất kinh doanh,Thuế thu nhập hoãn lại phải trả > Chênh lệch đánh giá lại tài sản do hợp nhất kinh doanh,Chênh lệch đánh giá lại tài sản do hợp nhất kinh doanh,(168.897.718.656),(47.359.952.697),6.348.076.270,110.988.251.161,-168897718656.0,-47359952697.0,6348076270.0,110988251161.0
,,,(168.897.718.656),(47.359.952.697),,,-168897718656.0,-47359952697.0,,
Thu nhập thuế thu nhập hoãn lại tính vào kết quả kinh doanh hợp nhất,Thuế thu nhập hoãn lại phải trả > Thu nhập thuế thu nhập hoãn lại tính vào kết quả kinh doanh hợp nhất,Thu nhập thuế thu nhập hoãn lại tính vào kết quả kinh doanh hợp nhất,,,10.770.230.430,108.369.094.148,,,10770230430.0,108369094148.0
