row_label_raw,row_label_full,col_0,Vốn cổ phần đã phát hành,Thặng dư vốn cổ phần,Vốn khác,Cổ phiếu quỹ,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối (Trình bày lại),Lợi ích cổ đông không kiểm soát,Tổng cộng (Trình bày lại),numeric__Vốn cổ phần đã phát hành,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối (Trình bày lại),numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng (Trình bày lại)
Năm trước Số dư đầu năm,Năm trước Số dư đầu năm,Năm trước Số dư đầu năm,1.550.000.000.000,66.378.000.000,77.388.963.577,(5.026.115.259),83.604.392,208.668.128.206,749.075.810.262,714.353.087.731,3.360.921.478.909,1550000000000.0,66378000000.0,77388963577.0,-5026115259.0,83604392.0,208668128206.0,749075810262.0,714353087731.0,3360921478909.0
- Tăng vốn,- Tăng vốn,- Tăng vốn,770.000.000.000,615.729.724.760,-,-,-,-,-,152.624.548.268,1.538.354.273.028,770000000000.0,615729724760.0,,,,,,152624548268.0,1538354273028.0
- Lợi nhuận thuần trong năm (Trình bày lại),- Lợi nhuận thuần trong năm (Trình bày lại),- Lợi nhuận thuần trong năm (Trình bày lại),-,-,-,-,-,-,637.281.217.514,268.821.056.901,906.102.274.415,,,,,,,637281217514.0,268821056901.0,906102274415.0
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,-,-,-,-,-,-,(232.000.000.000),(268.803.927.500),(500.803.927.500),,,,,,,-232000000000.0,-268803927500.0,-500803927500.0
- Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,-,-,-,-,-,8.105.247.051,(8.105.247.051),-,-,,,,,,8105247051.0,-8105247051.0,,
- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,-,(87.156.162.437),(27.396.095.963),(114.552.258.400),,,,,,,-87156162437.0,-27396095963.0,-114552258400.0
- Phát hành cổ phiếu để tăng vốn cổ phần từ nguồn vốn chủ sở hữu,- Phát hành cổ phiếu để tăng vốn cổ phần từ nguồn vốn chủ sở hữu,- Phát hành cổ phiếu để tăng vốn cổ phần từ nguồn vốn chủ sở hữu,348.000.000.000,(66.378.000.000),-,-,-,(139.656.441.276),(141.965.558.724),-,-,348000000000.0,-66378000000.0,,,,-139656441276.0,-141965558724.0,,
- Thù lao HDQT,- Thù lao HDQT,- Thù lao HDQT,-,-,-,-,-,-,(399.191.636),(479.808.364),(879.000.000),,,,,,,-399191636.0,-479808364.0,-879000000.0
- Mua thêm lợi ích từ cổ đông không kiểm soát,- Mua thêm lợi ích từ cổ đông không kiểm soát,- Mua thêm lợi ích từ cổ đông không kiểm soát,-,-,-,-,-,-,(130.418.383.586),(271.923.108.553),(402.341.492.139),,,,,,,-130418383586.0,-271923108553.0,-402341492139.0
- Mua công ty con trong năm,- Mua công ty con trong năm,- Mua công ty con trong năm,-,-,-,-,-,-,-,1.348.828.350.945,1.348.828.350.945,,,,,,,,1348828350945.0,1348828350945.0
- Bán cổ phiếu quỹ,- Bán cổ phiếu quỹ,- Bán cổ phiếu quỹ,-,6.608.000.000,-,5.025.000.000,-,-,-,-,11.633.000.000,,6608000000.0,,5025000000.0,,,,,11633000000.0
- Tăng/(giảm) khác,- Tăng/(giảm) khác,- Tăng/(giảm) khác,-,-,-,1.115.259,(34.738.264),(93.691.736),(338.213.383),(213.397.172),(678.925.296),,,,1115259.0,-34738264.0,-93691736.0,-338213383.0,-213397172.0,-678925296.0
Số dư cuối năm (Trình bày lại),Số dư cuối năm (Trình bày lại),Số dư cuối năm (Trình bày lại),2.668.000.000.000,622.337.724.760,77.388.963.577,-,48.866.128,77.023.242.245,785.974.270.959,1.915.810.706.293,6.146.583.773.962,2668000000000.0,622337724760.0,77388963577.0,,48866128.0,77023242245.0,785974270959.0,1915810706293.0,6146583773962.0
