row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Nhận ký quỹ, ký cược ngắn hạn (i)","Ngắn hạn > Nhận ký quỹ, ký cược ngắn hạn (i)","Nhận ký quỹ, ký cược ngắn hạn (i)",103.868.260.017,293.570.240.296,103868260017.0,293570240296.0
Số dư thư tin dụng (LC) phải trả ngân hàng,Ngắn hạn > Số dư thư tin dụng (LC) phải trả ngân hàng,Số dư thư tin dụng (LC) phải trả ngân hàng,90.447.835.282,-,90447835282.0,
Nhận tạm ứng chuyển nhượng các khoản đầu tư,Ngắn hạn > Nhận tạm ứng chuyển nhượng các khoản đầu tư,Nhận tạm ứng chuyển nhượng các khoản đầu tư,39.940.000.000,39.940.000.000,39940000000.0,39940000000.0
"Nhận tạm ứng kinh phí bởi thường, hỗ trợ di đời","Ngắn hạn > Nhận tạm ứng kinh phí bởi thường, hỗ trợ di đời","Nhận tạm ứng kinh phí bởi thường, hỗ trợ di đời",40.000.000.000,40.000.000.000,40000000000.0,40000000000.0
Phải trả liên quan đến dịch vụ xuất khẩu lao động,Ngắn hạn > Phải trả liên quan đến dịch vụ xuất khẩu lao động,Phải trả liên quan đến dịch vụ xuất khẩu lao động,25.960.697.748,29.716.899.836,25960697748.0,29716899836.0
Nhận đặt cọc thực hiện dự án,Ngắn hạn > Nhận đặt cọc thực hiện dự án,Nhận đặt cọc thực hiện dự án,20.000.000.000,20.000.000.000,20000000000.0,20000000000.0
Chứng quyền đặt mua (ii),Ngắn hạn > Chứng quyền đặt mua (ii),Chứng quyền đặt mua (ii),18.000.000.000,-,18000000000.0,
Cổ tức phải trả,Ngắn hạn > Cổ tức phải trả,Cổ tức phải trả,7.745.748.219,15.154.549.978,7745748219.0,15154549978.0
Khác,Ngắn hạn > Khác,Khác,67.440.326.866,56.837.383.005,67440326866.0,56837383005.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,413.402.868.132,495.219.073.115,413402868132.0,495219073115.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chứng quyền đặt mua (ii),Dài hạn > Chứng quyền đặt mua (ii),Chứng quyền đặt mua (ii),-,90.000.000.000,,90000000000.0
"Nhận ký quỹ, ký cược dài hạn","Dài hạn > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",36.151.111.022,29.050.625.007,36151111022.0,29050625007.0
Khác,Dài hạn > Khác,Khác,502.126.200,580.551.000,502126200.0,580551000.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,36.653.237.222,119.631.176.007,36653237222.0,119631176007.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên liên quan (Thuyết minh số 29),Trong đó: > Phải trả các bên liên quan (Thuyết minh số 29),Phải trả các bên liên quan (Thuyết minh số 29),40.000.000.000,40.000.000.000,40000000000.0,40000000000.0
Phải trả các bên khác,Trong đó: > Phải trả các bên khác,Phải trả các bên khác,409.555.617.279,574.850.249.122,409555617279.0,574850249122.0
