row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiệnvận tải, truyền dẫn","Thiết bị, dụng cụquản lý",Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiệnvận tải, truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,2.149.932.525.828,1.974.550.802.994,887.808.765.836,46.688.833.152,5.058.980.927.810,2149932525828.0,1974550802994.0,887808765836.0,46688833152.0,5058980927810.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,-,133.823.522.194,20.874.621.272,4.293.933.349,158.992.076.815,,133823522194.0,20874621272.0,4293933349.0,158992076815.0
- Đầu tư XDCB hoàn thành,Nguyên giá: > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,39.127.308.889,115.263.991.116,63.934.906.567,-,218.326.206.572,39127308889.0,115263991116.0,63934906567.0,,218326206572.0
- Tăng do hợp nhất kinh doanh,Nguyên giá: > - Tăng do hợp nhất kinh doanh,- Tăng do hợp nhất kinh doanh,1.717.079.286.326,240.662.160.458,4.173.460.866,835.443.219,1.962.750.350.869,1717079286326.0,240662160458.0,4173460866.0,835443219.0,1962750350869.0
- Phân loại lại,Nguyên giá: > - Phân loại lại,- Phân loại lại,-,(239.267.000),-,239.267.000,-,,-239267000.0,,239267000.0,
- Điều chỉnh theo giá trị quyết toánXDCB hoàn thành,Nguyên giá: > - Điều chỉnh theo giá trị quyết toánXDCB hoàn thành,- Điều chỉnh theo giá trị quyết toánXDCB hoàn thành,986.898.713,(3.775.736.242),-,-,(2.788.837.529),986898713.0,-3775736242.0,,,-2788837529.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(14.884.597.671),(16.438.956.411),(23.098.649.847),(965.654.669),(55.387.858.598),-14884597671.0,-16438956411.0,-23098649847.0,-965654669.0,-55387858598.0
- Phân loại sang bắt động sản đầu tư,Nguyên giá: > - Phân loại sang bắt động sản đầu tư,- Phân loại sang bắt động sản đầu tư,(19.867.126.145),(2.783.909.018),-,(9.238.234.651),(31.889.269.814),-19867126145.0,-2783909018.0,,-9238234651.0,-31889269814.0
- Giảm khác,Nguyên giá: > - Giảm khác,- Giảm khác,(29.448.502),(674.116.920),(92.589.940),(15.427.549),(811.582.911),-29448502.0,-674116920.0,-92589940.0,-15427549.0,-811582911.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,3.872.344.847.438,2.440.388.491.171,953.600.514.754,41.838.159.851,7.308.172.013.214,3872344847438.0,2440388491171.0,953600514754.0,41838159851.0,7308172013214.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,154.434.980.061,536.974.035.995,333.918.724.309,14.114.803.050,1.039.442.543.415,154434980061.0,536974035995.0,333918724309.0,14114803050.0,1039442543415.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
