row_label_raw,row_label_full,Ông Nguyễn Văn Tuấn > Ông Nguyễn Hoa Cương > Ông Nguyễn Trọng Tiêu,Chủ tịch > Thành viên > Chủ tịch > Phó chủ tịch,Bổ nhiệm ngày 4 tháng 1 năm 2018 > Miễn nhiệm ngày 4 tháng 1 năm 2018 > Bổ nhiệm ngày 31 tháng 8 năm 2018,numeric__Chủ tịch > Thành viên > Chủ tịch > Phó chủ tịch,numeric__Bổ nhiệm ngày 4 tháng 1 năm 2018 > Miễn nhiệm ngày 4 tháng 1 năm 2018 > Bổ nhiệm ngày 31 tháng 8 năm 2018
Ông Nguyễn Trọng Tiêu,Ông Nguyễn Trọng Tiêu,Ông Nguyễn Trọng Tiêu,Thành viên,,,
Bà Đỗ Thị Phương Lan,Bà Đỗ Thị Phương Lan,Bà Đỗ Thị Phương Lan,Phó chủ tịch,Bổ nhiệm ngày 31 tháng 8 năm 2018,,
Bà Đỗ Thị Phương Lan,Bà Đỗ Thị Phương Lan,Bà Đỗ Thị Phương Lan,Thành viên,Bổ nhiệm ngày 27 tháng 4 năm 2018,,
Bà Nguyễn Thị Bích Ngọc,Bà Nguyễn Thị Bích Ngọc,Bà Nguyễn Thị Bích Ngọc,Thành viên,,,
Ông Võ Anh Linh,Ông Võ Anh Linh,Ông Võ Anh Linh,Thành viên,,,
