row_label_raw,row_label_full,Thông tin lưu chuyển tiền tệ trong năm từ việc mua công ty con,Giá trị hợp lý được xác địnhtạm thời tại ngày mua,Điều chỉnh giá trịhợp lý,Giá trị hợp lýsau điều chỉnh,numeric__Giá trị hợp lý được xác địnhtạm thời tại ngày mua,numeric__Điều chỉnh giá trịhợp lý,numeric__Giá trị hợp lýsau điều chỉnh
Tiền thu về từ công ty con,Tiền thu về từ công ty con,Tiền thu về từ công ty con,468.963.768.204,-,468.963.768.204,468963768204.0,,468963768204.0
Tiền chi để mua công ty con,Tiền chi để mua công ty con,Tiền chi để mua công ty con,(580.177.437.735),-,(580.177.437.735),-580177437735.0,,-580177437735.0
Tổng tiền thuần đã thanh toán cho nghiệp vụ mua,Tổng tiền thuần đã thanh toán cho nghiệp vụ mua,Tổng tiền thuần đã thanh toán cho nghiệp vụ mua,(111.213.669.531),-,(111.213.669.531),-111213669531.0,,-111213669531.0
