row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,13.828.715.331.881,12.094.756.795.679,13828715331881.0,12094756795679.0
Trong đó:,Trong đó:,Trong đó:,,,,
Doanh thu từ hoạt động sản xuất và kinh doanh thiết bị điện,Trong đó: > Doanh thu từ hoạt động sản xuất và kinh doanh thiết bị điện,Doanh thu từ hoạt động sản xuất và kinh doanh thiết bị điện,11.441.227.412.630,10.529.742.641.281,11441227412630.0,10529742641281.0
Doanh thu cung cấp dịch vụ vận tải và kho vận,Trong đó: > Doanh thu cung cấp dịch vụ vận tải và kho vận,Doanh thu cung cấp dịch vụ vận tải và kho vận,1.573.042.069.970,1.091.292.217.322,1573042069970.0,1091292217322.0
Doanh thu từ sản xuất và kinh doanh màng năng lượng,Trong đó: > Doanh thu từ sản xuất và kinh doanh màng năng lượng,Doanh thu từ sản xuất và kinh doanh màng năng lượng,525.725.301.857,213.287.394.083,525725301857.0,213287394083.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,288.720.547.424,260.434.542.993,288720547424.0,260434542993.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(129.585.819.594),(110.615.725.882),-129585819594.0,-110615725882.0
Chiết khấu thương mại,Trong đó: > Chiết khấu thương mại,Chiết khấu thương mại,(121.786.687.411),(102.079.436.987),-121786687411.0,-102079436987.0
Hàng bán bị trả lại,Trong đó: > Hàng bán bị trả lại,Hàng bán bị trả lại,(7.799.132.183),(8.536.288.895),-7799132183.0,-8536288895.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,13.699.129.512.287,11.984.141.069.797,13699129512287.0,11984141069797.0
Trong đó:,Trong đó:,Trong đó:,,,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,13.275.512.939.632,11.909.924.315.286,13275512939632.0,11909924315286.0
Doanh thu đối với bên liên quan,Trong đó: > Doanh thu đối với bên liên quan,Doanh thu đối với bên liên quan,423.616.572.655,74.216.754.511,423616572655.0,74216754511.0
