row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước(Trình bày lại),numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước(Trình bày lại)
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
- Chi phí nhân công,Chi phí bán hàng > - Chi phí nhân công,- Chi phí nhân công,125.836.548.586,103.879.703.469,125836548586.0,103879703469.0
- Chi phí khấu hao,Chi phí bán hàng > - Chi phí khấu hao,- Chi phí khấu hao,4.052.431.332,3.454.850.047,4052431332.0,3454850047.0
- Chi phí dịch vụ mua ngoài,Chi phí bán hàng > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,116.996.821.174,94.145.243.689,116996821174.0,94145243689.0
- Chi phí bán hàng khác,Chi phí bán hàng > - Chi phí bán hàng khác,- Chi phí bán hàng khác,100.587.502.778,59.832.222.575,100587502778.0,59832222575.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,347.473.303.870,261.312.019.780,347473303870.0,261312019780.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
"- Chi phí nguyên liệu, vật liệu","Chi phí quản lý doanh nghiệp > - Chi phí nguyên liệu, vật liệu","- Chi phí nguyên liệu, vật liệu",7.628.661.939,15.532.393.315,7628661939.0,15532393315.0
- Chi phí nhân công,Chi phí quản lý doanh nghiệp > - Chi phí nhân công,- Chi phí nhân công,276.757.951.963,232.795.931.692,276757951963.0,232795931692.0
- Chi phí khấu hao,Chi phí quản lý doanh nghiệp > - Chi phí khấu hao,- Chi phí khấu hao,20.306.295.762,21.193.849.691,20306295762.0,21193849691.0
"- Tiền thuê đất và thuế, lệ phí khác","Chi phí quản lý doanh nghiệp > - Tiền thuê đất và thuế, lệ phí khác","- Tiền thuê đất và thuế, lệ phí khác",14.931.199.625,16.022.051.923,14931199625.0,16022051923.0
- Phân bổ lợi thế thương mại(Thuyết minh số 17),Chi phí quản lý doanh nghiệp > - Phân bổ lợi thế thương mại(Thuyết minh số 17),- Phân bổ lợi thế thương mại(Thuyết minh số 17),107.745.501.289,48.729.912.191,107745501289.0,48729912191.0
- Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,72.578.491.610,57.126.608.802,72578491610.0,57126608802.0
- Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > - Chi phí quản lý doanh nghiệp khác,- Chi phí quản lý doanh nghiệp khác,143.796.880.244,137.317.813.151,143796880244.0,137317813151.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,643.744.982.432,528.718.560.765,643744982432.0,528718560765.0
