row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi số,Số cuối năm > Dự phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị ghi số,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi số,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị ghi số,numeric__Số đầu năm > Dự phòng
Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),159.729.229.165,159.729.229.165,-,249.969.163.922,249.969.163.922,-,159729229165.0,159729229165.0,,249969163922.0,249969163922.0,
Trái phiếu (ii),Trái phiếu (ii),Trái phiếu (ii),15.000.000.000,15.000.000.000,-,-,-,-,15000000000.0,15000000000.0,,,,
Ủy thác đầu tư (iii),Ủy thác đầu tư (iii),Ủy thác đầu tư (iii),265.848.782.400,265.848.782.400,-,422.300.000.000,422.300.000.000,-,265848782400.0,265848782400.0,,422300000000.0,422300000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,440.578.011.565,440.578.011.565,-,672.269.163.922,672.269.163.922,-,440578011565.0,440578011565.0,,672269163922.0,672269163922.0,
