row_label_raw,row_label_full,col_0,Đơn vị tính: VND,Đơn vị tính: VND_1,Đơn vị tính: VND_2,Đơn vị tính: VND_3,numeric__Đơn vị tính: VND,numeric__Đơn vị tính: VND_1,numeric__Đơn vị tính: VND_2,numeric__Đơn vị tính: VND_3
,,,Quyền sử dụng đất,Quyền khai thác mặt nước,Phần mềm máy tính,Tổng cộng,,,,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,167.678.769.919,-,11.741.708.020,179.420.477.939,167678769919.0,,11741708020.0,179420477939.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,-,-,5.280.950.200,5.280.950.200,,,5280950200.0,5280950200.0
- Tăng/(giảm) do hợp nhất kinh doanh,Nguyên giá: > - Tăng/(giảm) do hợp nhất kinh doanh,- Tăng/(giảm) do hợp nhất kinh doanh,(3.800.000.000),384.184.174.786,(3.188.681.049),377.195.493.737,-3800000000.0,384184174786.0,-3188681049.0,377195493737.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(15.942.290.267),-,-,(15.942.290.267),-15942290267.0,,,-15942290267.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,147.936.479.652,384.184.174.786,13.833.977.171,545.954.631.609,147936479652.0,384184174786.0,13833977171.0,545954631609.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Đã hao mòn hết,Trong đó: > Đã hao mòn hết,Đã hao mòn hết,-,-,2.438.070.719,2.438.070.719,,,2438070719.0,2438070719.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,9.878.145.277,-,6.790.850.064,16.668.995.341,9878145277.0,,6790850064.0,16668995341.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế: > - Hao mòn trong năm,- Hao mòn trong năm,1.019.825.724,8.124.473.090,1.631.734.140,10.776.032.954,1019825724.0,8124473090.0,1631734140.0,10776032954.0
- Tăng do hợp nhất kinh doanh,Giá trị hao mòn lũy kế: > - Tăng do hợp nhất kinh doanh,- Tăng do hợp nhất kinh doanh,-,-,731.356.840,731.356.840,,,731356840.0,731356840.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,10.897.971.001,8.124.473.090,9.153.941.044,28.176.385.135,10897971001.0,8124473090.0,9153941044.0,28176385135.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,157.800.624.642,-,4.950.857.956,162.751.482.598,157800624642.0,,4950857956.0,162751482598.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,137.038.508.651,376.059.701.696,4.680.036.127,517.778.246.474,137038508651.0,376059701696.0,4680036127.0,517778246474.0
