row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2017(dã được trình bàytrước đáy),Đơn vị tính: VND > Điều chỉnh,Đơn vị tính: VND > Ngày 31 tháng 12năm 2017(trình bày lại),numeric__Ngày 31 tháng 12năm 2017(dã được trình bàytrước đáy),numeric__Đơn vị tính: VND > Điều chỉnh,numeric__Đơn vị tính: VND > Ngày 31 tháng 12năm 2017(trình bày lại)
BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT,,,
Lợi thế thương mại,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Lợi thế thương mại,Lợi thế thương mại,740.911.110.484,(148.889.269.741),592.021.840.743,740911110484.0,-148889269741.0,592021840743.0
Lợi nhuận sau thuế chưa phânphối,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Lợi nhuận sau thuế chưa phânphối,Lợi nhuận sau thuế chưa phânphối,934.863.540.700,(148.889.269.741),785.974.270.959,934863540700.0,-148889269741.0,785974270959.0
,,,Năm tài chính kếtthức ngày 31 tháng12 năm 2017(dã được trình bàytrước đáy),Điều chỉnh,Năm tài chính kếtthức ngày 31 tháng12 năm 2017(trình bày lại),,,
BẢO CẢO KẾT QUẢ KINH DOANH HỢP NHẤT,BẢO CẢO KẾT QUẢ KINH DOANH HỢP NHẤT,BẢO CẢO KẾT QUẢ KINH DOANH HỢP NHẤT,BẢO CẢO KẾT QUẢ KINH DOANH HỢP NHẤT,BẢO CẢO KẾT QUẢ KINH DOANH HỢP NHẤT,BẢO CẢO KẾT QUẢ KINH DOANH HỢP NHẤT,,,
Doanh thu hoạt động tài chính,BẢO CẢO KẾT QUẢ KINH DOANH HỢP NHẤT > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,847.451.817.078,(525.695.858.025),321.755.959.053,847451817078.0,-525695858025.0,321755959053.0
Chi phí quản lý doanh nghiệp,BẢO CẢO KẾT QUẢ KINH DOANH HỢP NHẤT > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(540.790.663.717),12.072.102.952,(528.718.560.765),-540790663717.0,12072102952.0,-528718560765.0
Thu nhập thuế TNDN hoãn lại,BẢO CẢO KẾT QUẢ KINH DOANH HỢP NHẤT > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,3.229.922.543,105.139.171.605,108.369.094.148,3229922543.0,105139171605.0,108369094148.0
Lợi nhuận sau thuế của công tymệ,BẢO CẢO KẾT QUẢ KINH DOANH HỢP NHẤT > Lợi nhuận sau thuế của công tymệ,Lợi nhuận sau thuế của công tymệ,786.170.487.255,(148.889.269.741),637.281.217.514,786170487255.0,-148889269741.0,637281217514.0
Lợi nhuận sau thuế của cổ đôngkhông kiểm soát,BẢO CẢO KẾT QUẢ KINH DOANH HỢP NHẤT > Lợi nhuận sau thuế của cổ đôngkhông kiểm soát,Lợi nhuận sau thuế của cổ đôngkhông kiểm soát,528.416.370.628,(259.595.313.727),268.821.056.901,528416370628.0,-259595313727.0,268821056901.0
BẢO CẢO LƯU CHUYÊN TIÊN TỆ HỢP NHẤT,BẢO CẢO LƯU CHUYÊN TIÊN TỆ HỢP NHẤT,BẢO CẢO LƯU CHUYÊN TIÊN TỆ HỢP NHẤT,BẢO CẢO LƯU CHUYÊN TIÊN TỆ HỢP NHẤT,BẢO CẢO LƯU CHUYÊN TIÊN TỆ HỢP NHẤT,BẢO CẢO LƯU CHUYÊN TIÊN TỆ HỢP NHẤT,,,
Tổng lợi nhuận trước thuế,BẢO CẢO LƯU CHUYÊN TIÊN TỆ HỢP NHẤT > Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,1.658.244.054.519,(513.623.755.073),1.144.620.299.446,1658244054519.0,-513623755073.0,1144620299446.0
Khẩu hao tài sản cố định hữuhình và bắt động sản đầu tư vàhao mòn tài sản cố định vôhình (bao gồm phân bổ lợi thếthương mại),BẢO CẢO LƯU CHUYÊN TIÊN TỆ HỢP NHẤT > Khẩu hao tài sản cố định hữuhình và bắt động sản đầu tư vàhao mòn tài sản cố định vôhình (bao gồm phân bổ lợi thếthương mại),Khẩu hao tài sản cố định hữuhình và bắt động sản đầu tư vàhao mòn tài sản cố định vôhình (bao gồm phân bổ lợi thếthương mại),329.863.959.350,(12.072.102.952),317.791.856.398,329863959350.0,-12072102952.0,317791856398.0
Lãi từ hoạt động đầu tư,BẢO CẢO LƯU CHUYÊN TIÊN TỆ HỢP NHẤT > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,(776.698.529.839),525.695.858.025,(251.002.671.814),-776698529839.0,525695858025.0,-251002671814.0
