row_label_raw,row_label_full,Bên liên quan > Chứng khoán kinh doanh (Thuyết minh số 6.1),Mối quan hệ > Chứng khoán kinh doanh (Thuyết minh số 6.1),Nội dung nghiệp vụ > Chứng khoán kinh doanh (Thuyết minh số 6.1),Số cuối năm > Chứng khoán kinh doanh (Thuyết minh số 6.1),Đơn vị tính: VND > Chứng khoán kinh doanh (Thuyết minh số 6.1),numeric__Mối quan hệ > Chứng khoán kinh doanh (Thuyết minh số 6.1),numeric__Nội dung nghiệp vụ > Chứng khoán kinh doanh (Thuyết minh số 6.1),numeric__Số cuối năm > Chứng khoán kinh doanh (Thuyết minh số 6.1),numeric__Đơn vị tính: VND > Chứng khoán kinh doanh (Thuyết minh số 6.1)
Công ty Cổ phầnQuản lý quỹ Đầu tưĐỏ,Công ty Cổ phầnQuản lý quỹ Đầu tưĐỏ,Công ty Cổ phầnQuản lý quỹ Đầu tưĐỏ,Bên liên quancủa thành viênHĐQT,Ủy thác đầu tư,72.073.979.995,-,,,72073979995.0,
Công ty Cổ phầnChứng khoán IB,Công ty Cổ phầnChứng khoán IB,Công ty Cổ phầnChứng khoán IB,Các nhân sựãnh đạo là thànhviên gia đình,Trái phiếu,60.288.750.000,139.524.375.000,,,60288750000.0,139524375000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,132.362.729.995,139.524.375.000,,,132362729995.0,139524375000.0
Đầu tư nắm giữ đến ngày đáo hạn (Thuyết minh số 6.2 và 15.2),Đầu tư nắm giữ đến ngày đáo hạn (Thuyết minh số 6.2 và 15.2),Đầu tư nắm giữ đến ngày đáo hạn (Thuyết minh số 6.2 và 15.2),Đầu tư nắm giữ đến ngày đáo hạn (Thuyết minh số 6.2 và 15.2),Đầu tư nắm giữ đến ngày đáo hạn (Thuyết minh số 6.2 và 15.2),Đầu tư nắm giữ đến ngày đáo hạn (Thuyết minh số 6.2 và 15.2),Đầu tư nắm giữ đến ngày đáo hạn (Thuyết minh số 6.2 và 15.2),,,,
Công ty Cổ phầnChứng khoán IB,Đầu tư nắm giữ đến ngày đáo hạn (Thuyết minh số 6.2 và 15.2) > Công ty Cổ phầnChứng khoán IB,Công ty Cổ phầnChứng khoán IB,Các nhân sựãnh đạo là thànhviên gia đình,Trái phiếu,15.000.000.000,156.140.000.000,,,15000000000.0,156140000000.0
Công ty Cổ phầnQuản lý quỹ Đầu tưĐỏ,Đầu tư nắm giữ đến ngày đáo hạn (Thuyết minh số 6.2 và 15.2) > Công ty Cổ phầnQuản lý quỹ Đầu tưĐỏ,Công ty Cổ phầnQuản lý quỹ Đầu tưĐỏ,Bên liên quancủa thành viênHĐQT,Ủy thác đầu tư,100.287.671.200,-,,,100287671200.0,
TỔNG CỘNG,Đầu tư nắm giữ đến ngày đáo hạn (Thuyết minh số 6.2 và 15.2) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,115.287.671.200,156.140.000.000,,,115287671200.0,156140000000.0
Phải thu khách hàng (Thuyết minh số 7),Phải thu khách hàng (Thuyết minh số 7),Phải thu khách hàng (Thuyết minh số 7),Phải thu khách hàng (Thuyết minh số 7),Phải thu khách hàng (Thuyết minh số 7),Phải thu khách hàng (Thuyết minh số 7),Phải thu khách hàng (Thuyết minh số 7),,,,
Công ty Cổ phầnViwaco,Phải thu khách hàng (Thuyết minh số 7) > Công ty Cổ phầnViwaco,Công ty Cổ phầnViwaco,Bên liên quancủa Thành viênHĐQT,Doanh thu bán hàng hóa,66.114.236.778,-,,,66114236778.0,
Công ty Cổ phầnChế tạo Born Hải Dương,Phải thu khách hàng (Thuyết minh số 7) > Công ty Cổ phầnChế tạo Born Hải Dương,Công ty Cổ phầnChế tạo Born Hải Dương,Bên liên quancủa thành viênHĐQT,Bán hàng và cung cấp dịch vụ,41.601.329.763,12.978.367.899,,,41601329763.0,12978367899.0
Công ty Liên Doanh Phát Triều Tiếp Vận Số 1,Phải thu khách hàng (Thuyết minh số 7) > Công ty Liên Doanh Phát Triều Tiếp Vận Số 1,Công ty Liên Doanh Phát Triều Tiếp Vận Số 1,Công ty liên kết,,10.128.761.523,5.531.486.329,,,10128761523.0,5531486329.0
Các bên liên quankhác,Phải thu khách hàng (Thuyết minh số 7) > Các bên liên quankhác,Các bên liên quankhác,,Khác,7.001.107.150,15.267.636.912,,,7001107150.0,15267636912.0
TỔNG CỘNG,Phải thu khách hàng (Thuyết minh số 7) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,124.845.435.214,33.777.491.140,,,124845435214.0,33777491140.0
Phải trả người bán ngắn hạn (Thuyết minh số 18),Phải trả người bán ngắn hạn (Thuyết minh số 18),Phải trả người bán ngắn hạn (Thuyết minh số 18),Phải trả người bán ngắn hạn (Thuyết minh số 18),Phải trả người bán ngắn hạn (Thuyết minh số 18),Phải trả người bán ngắn hạn (Thuyết minh số 18),Phải trả người bán ngắn hạn (Thuyết minh số 18),,,,
