row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Tăng do hợp nhất kinh doanh,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Tăng do hợp nhất kinh doanh,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,,,,,,,,
Vay ngân hàng,Vay và nợ ngắn hạn > Vay ngân hàng,Vay ngân hàng,20.1,1.993.472.409.840,1.993.472.409.840,98.915.456.191,7.197.852.673.899,(7.011.946.851.977),2.278.293.687.953,2.278.293.687.953,201.0,1993472409840.0,1993472409840.0,98915456191.0,7197852673899.0,-7011946851977.0,2278293687953.0,2278293687953.0
Vay từ đối tượng khác,Vay và nợ ngắn hạn > Vay từ đối tượng khác,Vay từ đối tượng khác,20.3,60.201.109.653,60.201.109.653,14.450.000.000,162.864.596.500,(100.317.726.653),137.197.979.500,137.197.979.500,203.0,60201109653.0,60201109653.0,14450000000.0,162864596500.0,-100317726653.0,137197979500.0,137197979500.0
Trái phiếu ngắn hạn,Vay và nợ ngắn hạn > Trái phiếu ngắn hạn,Trái phiếu ngắn hạn,,299.165.833.333,299.165.833.333,-,834.166.667,(300.000.000.000),-,-,,299165833333.0,299165833333.0,,834166667.0,-300000000000.0,,
Trái phiếu dài hạn đến hạn trả,Vay và nợ ngắn hạn > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,20.4,360.000.000.000,360.000.000.000,-,1.279.834.999.993,(441.000.000.000),1.198.834.999.993,1.198.834.999.993,204.0,360000000000.0,360000000000.0,,1279834999993.0,-441000000000.0,1198834999993.0,1198834999993.0
Vay dài hạn đến hạn trả,Vay và nợ ngắn hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,20.2,33.478.636.726,33.478.636.726,60.408.766.642,104.621.497.446,(70.918.636.726),127.590.264.088,127.590.264.088,202.0,33478636726.0,33478636726.0,60408766642.0,104621497446.0,-70918636726.0,127590264088.0,127590264088.0
TỔNG CỘNG,Vay và nợ ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,2.746.317.989.552,2.746.317.989.552,173.774.222.833,8.746.007.934.505,(7.924.183.215.356),3.741.916.931.534,3.741.916.931.534,,2746317989552.0,2746317989552.0,173774222833.0,8746007934505.0,-7924183215356.0,3741916931534.0,3741916931534.0
Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,,,,,,,,
Vay ngân hàng,Vay và nợ dài hạn > Vay ngân hàng,Vay ngân hàng,20.2,1.111.954.559.812,1.111.954.559.812,208.921.836.222,293.554.688.028,(214.758.527.999),1.399.672.556.063,1.399.672.556.063,202.0,1111954559812.0,1111954559812.0,208921836222.0,293554688028.0,-214758527999.0,1399672556063.0,1399672556063.0
Trái phiếu,Vay và nợ dài hạn > Trái phiếu,Trái phiếu,20.4,1.421.914.237.842,1.421.914.237.842,-,689.994.370.602,(1.379.834.999.993),732.073.608.451,732.073.608.451,204.0,1421914237842.0,1421914237842.0,,689994370602.0,-1379834999993.0,732073608451.0,732073608451.0
TỔNG CỘNG,Vay và nợ dài hạn > TỔNG CỘNG,TỔNG CỘNG,,2.533.868.797.654,2.533.868.797.654,208.921.836.222,983.549.058.630,(1.594.593.527.992),2.131.746.164.514,2.131.746.164.514,,2533868797654.0,2533868797654.0,208921836222.0,983549058630.0,-1594593527992.0,2131746164514.0,2131746164514.0
