row_label_raw,row_label_full,Bà Lê Thị Hồng Lĩnh > Bà Nguyễn Thị Thanh Yến,Trường ban > Thành viên > Trường ban,Bổ nhiệm ngày 11 tháng 5 năm 2018 > Bổ nhiệm ngày 27 tháng 4 năm 2018 > Miễn nhiệm ngày 27 tháng 4 năm 2018,numeric__Trường ban > Thành viên > Trường ban,numeric__Bổ nhiệm ngày 11 tháng 5 năm 2018 > Bổ nhiệm ngày 27 tháng 4 năm 2018 > Miễn nhiệm ngày 27 tháng 4 năm 2018
Bà Phạm Thị Minh Cúc,Bà Phạm Thị Minh Cúc,Bà Phạm Thị Minh Cúc,Thành viên,,,
Bà Phạm Thị Mỹ Hà,Bà Phạm Thị Mỹ Hà,Bà Phạm Thị Mỹ Hà,Thành viên,,,
