row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Tài sản khác (*),Tổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Tài sản khác (*),numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,159.963.712.056,89.564.170.014,249.527.882.070,159963712056.0,89564170014.0,249527882070.0
Kết chuyển từ tài sản cố định hữu hình (Thuyết minh số 11),Nguyên giá: > Kết chuyển từ tài sản cố định hữu hình (Thuyết minh số 11),Kết chuyển từ tài sản cố định hữu hình (Thuyết minh số 11),19.867.126.145,12.022.143.669,31.889.269.814,19867126145.0,12022143669.0,31889269814.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,179.830.838.201,101.586.313.683,281.417.151.884,179830838201.0,101586313683.0,281417151884.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số dư đầu năm,Giá trị khấu hao lũy kế: > Số dư đầu năm,Số dư đầu năm,11.281.439.941,19.316.002.301,30.597.442.242,11281439941.0,19316002301.0,30597442242.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,3.620.325.526,10.037.674.021,13.657.999.547,3620325526.0,10037674021.0,13657999547.0
Kết chuyển từ tài sản cố định hữu hình (Thuyết minh số 11),Giá trị khấu hao lũy kế: > Kết chuyển từ tài sản cố định hữu hình (Thuyết minh số 11),Kết chuyển từ tài sản cố định hữu hình (Thuyết minh số 11),1.255.393.153,2.906.785.119,4.162.178.272,1255393153.0,2906785119.0,4162178272.0
Số dư cuối năm,Giá trị khấu hao lũy kế: > Số dư cuối năm,Số dư cuối năm,16.157.158.620,32.260.461.441,48.417.620.061,16157158620.0,32260461441.0,48417620061.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,148.682.272.115,70.248.167.713,218.930.439.828,148682272115.0,70248167713.0,218930439828.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,163.673.679.581,69.325.852.242,232.999.531.823,163673679581.0,69325852242.0,232999531823.0
