row_label_raw,row_label_full,Thông tin lưu chuyển tiền tệ trong năm từ việc mua công ty con,Giá trị hợp lý được xác địnhtạm thời tại ngày mua > Thông tin lưu chuyển tiền tệ trong năm từ việc mua công ty con,Điều chỉnh giá trị hợp lý > Thông tin lưu chuyển tiền tệ trong năm từ việc mua công ty con,Đơn vị tính: VNDGiá trị hợp lý > Thông tin lưu chuyển tiền tệ trong năm từ việc mua công ty con,numeric__Giá trị hợp lý được xác địnhtạm thời tại ngày mua > Thông tin lưu chuyển tiền tệ trong năm từ việc mua công ty con,numeric__Điều chỉnh giá trị hợp lý > Thông tin lưu chuyển tiền tệ trong năm từ việc mua công ty con,numeric__Đơn vị tính: VNDGiá trị hợp lý > Thông tin lưu chuyển tiền tệ trong năm từ việc mua công ty con
Tiền thu về từ công ty con,Tiền thu về từ công ty con,Tiền thu về từ công ty con,189.156.985.761,-,189.156.985.761,189156985761.0,,189156985761.0
Tiền chi để mua công ty con,Tiền chi để mua công ty con,Tiền chi để mua công ty con,(104.099.916.000),-,(104.099.916.000),-104099916000.0,,-104099916000.0
Tổng tiền thuần đã thu về từ nghiệp vụ mua,Tổng tiền thuần đã thu về từ nghiệp vụ mua,Tổng tiền thuần đã thu về từ nghiệp vụ mua,85.057.069.761,-,85.057.069.761,85057069761.0,,85057069761.0
