row_label_raw,row_label_full,col_0,Từ 01/04/2016đến 31/12/2016VND,Từ 01/01/2016đến 31/03/2016,numeric__Từ 01/04/2016đến 31/12/2016VND,numeric__Từ 01/01/2016đến 31/03/2016
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,10.241.042.745.138,3.299.111.435.947,10241042745138.0,3299111435947.0
Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,,
- Doanh thu dịch vụ hàng không,Trong đó > - Doanh thu dịch vụ hàng không,- Doanh thu dịch vụ hàng không,8.369.524.339.494,2.679.628.979.626,8369524339494.0,2679628979626.0
Doanh thu hạ cắt cánh,Trong đó > Doanh thu hạ cắt cánh,Doanh thu hạ cắt cánh,1.358.547.694.655,422.783.434.015,1358547694655.0,422783434015.0
Doanh thu phục vụ mặt đất cơ bản/ trọn gói,Trong đó > Doanh thu phục vụ mặt đất cơ bản/ trọn gói,Doanh thu phục vụ mặt đất cơ bản/ trọn gói,251.713.161.778,107.062.909.810,251713161778.0,107062909810.0
Doanh thu phục vụ hành khách (PSC),Trong đó > Doanh thu phục vụ hành khách (PSC),Doanh thu phục vụ hành khách (PSC),5.080.246.456.992,1.632.500.792.061,5080246456992.0,1632500792061.0
"Doanh thu soi chiếu an ninh hành khách,hành lý","Trong đó > Doanh thu soi chiếu an ninh hành khách,hành lý","Doanh thu soi chiếu an ninh hành khách,hành lý",469.289.177.401,146.730.919.101,469289177401.0,146730919101.0
Doanh thu dịch vụ hàng không khác,Trong đó > Doanh thu dịch vụ hàng không khác,Doanh thu dịch vụ hàng không khác,1.209.727.848.668,370.550.924.639,1209727848668.0,370550924639.0
- Doanh thu phi hàng không,Trong đó > - Doanh thu phi hàng không,- Doanh thu phi hàng không,970.391.215.476,300.367.635.361,970391215476.0,300367635361.0
Doanh thu cho thuê mặt bằng,Trong đó > Doanh thu cho thuê mặt bằng,Doanh thu cho thuê mặt bằng,315.103.234.021,102.301.059.980,315103234021.0,102301059980.0
Doanh thu cho thuê quảng cáo,Trong đó > Doanh thu cho thuê quảng cáo,Doanh thu cho thuê quảng cáo,124.560.634.806,33.765.852.294,124560634806.0,33765852294.0
Doanh thu dịch vụ bến bãi,Trong đó > Doanh thu dịch vụ bến bãi,Doanh thu dịch vụ bến bãi,311.492.828.178,98.177.135.458,311492828178.0,98177135458.0
"Doanh thu dịch vụ cung cấp tiện ích (điện,nước, gas, vệ sinh, y tế .....)","Trong đó > Doanh thu dịch vụ cung cấp tiện ích (điện,nước, gas, vệ sinh, y tế .....)","Doanh thu dịch vụ cung cấp tiện ích (điện,nước, gas, vệ sinh, y tế .....)",60.237.296.186,18.504.399.927,60237296186.0,18504399927.0
"Doanh thu phục vụ khách VIP, F, C,...","Trong đó > Doanh thu phục vụ khách VIP, F, C,...","Doanh thu phục vụ khách VIP, F, C,...",66.346.870.134,20.975.399.820,66346870134.0,20975399820.0
Doanh thu dịch vụ phi hàng không khác,Trong đó > Doanh thu dịch vụ phi hàng không khác,Doanh thu dịch vụ phi hàng không khác,92.650.352.151,26.643.787.882,92650352151.0,26643787882.0
- Doanh thu bán hàng,Trong đó > - Doanh thu bán hàng,- Doanh thu bán hàng,901.127.190.168,319.114.820.960,901127190168.0,319114820960.0
Các khoản giảm trừ doanh thu,Trong đó > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(100.323.506.675),(31.421.160.562),-100323506675.0,-31421160562.0
Chiết khấu thương mại,Trong đó > Chiết khấu thương mại,Chiết khấu thương mại,(100.323.506.675),(31.421.160.562),-100323506675.0,-31421160562.0
Doanh thu thuần,Trong đó > Doanh thu thuần,Doanh thu thuần,10.140.719.238.463,3.267.690.275.385,10140719238463.0,3267690275385.0
- Doanh thu cung cấp dịch vụ,Trong đó > - Doanh thu cung cấp dịch vụ,- Doanh thu cung cấp dịch vụ,9.239.592.048.295,2.948.575.454.425,9239592048295.0,2948575454425.0
- Doanh thu bán hàng,Trong đó > - Doanh thu bán hàng,- Doanh thu bán hàng,901.127.190.168,319.114.820.960,901127190168.0,319114820960.0
Trong đó: Doanh thu đối với các bên liên quan,Trong đó: Doanh thu đối với các bên liên quan,Trong đó: Doanh thu đối với các bên liên quan,Trong đó: Doanh thu đối với các bên liên quan,Trong đó: Doanh thu đối với các bên liên quan,,
- Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Trong đó: Doanh thu đối với các bên liên quan > - Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,- Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,162.833.489.070,44.327.773.275,162833489070.0,44327773275.0
